"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","7mU72TzxMpw","Kathryn Bernardo - You Don't Know Me (Audio)","2017-10-27T07:12:24.000Z","3315","206","2","0","11","https://www.youtube.com/watch?v=7mU72TzxMpw"
"2","BK92dMC46C8","Kathryn Bernardo - Kathryn (Full Album) | Non-Stop Music 🎵","2018-08-13T15:36:05.000Z","5888","202","4","0","8","https://www.youtube.com/watch?v=BK92dMC46C8"
"3","DWY0eSJg_1U","Kathryn Bernardo - Na Sa’yo Din Pala (Audio)","2017-10-27T07:13:18.000Z","15301","791","10","0","26","https://www.youtube.com/watch?v=DWY0eSJg_1U"
"4","esex_roIhaA","Kathryn Bernardo - Got To Believe In Magic (Audio) 🎵","2018-08-13T15:35:55.000Z","48699","1466","31","0","76","https://www.youtube.com/watch?v=esex_roIhaA"
"5","fqvlqlrbBRk","Kathryn Bernardo - Love Has Come My Way (Audio)","2017-10-27T07:12:25.000Z","4594","210","4","0","10","https://www.youtube.com/watch?v=fqvlqlrbBRk"
"6","ld3rSghajpk","Kathryn Bernardo - Mr. DJ (Audio)","2017-10-27T07:12:44.000Z","5478","250","4","0","17","https://www.youtube.com/watch?v=ld3rSghajpk"
"7","LG8FdVR-tb0","Kathryn Bernardo - Temporary Déjà Vu (Audio)","2017-10-27T07:12:55.000Z","6164","319","2","0","23","https://www.youtube.com/watch?v=LG8FdVR-tb0"
"8","nLv4LoCnzE0","Kathryn Bernardo - Pinas Smile (Audio) 🎵","2018-08-13T15:36:10.000Z","17423","535","11","0","14","https://www.youtube.com/watch?v=nLv4LoCnzE0"
"9","nRtE_fVMYrg","Kathryn Bernardo - Ikaw Na Nga Yata (Audio)","2017-10-27T07:12:25.000Z","7315","313","4","0","13","https://www.youtube.com/watch?v=nRtE_fVMYrg"
"10","rqWb4WtlNK8","Kathryn Bernardo - Crush Ng Bayan (Audio)","2017-10-27T07:12:24.000Z","5986","218","5","0","12","https://www.youtube.com/watch?v=rqWb4WtlNK8"
"11","u-4zmmnuQDw","Kathryn Bernardo - K Tnx Bye (Audio)","2017-10-27T07:12:24.000Z","6781","333","5","0","9","https://www.youtube.com/watch?v=u-4zmmnuQDw"
"12","vLRNXjyHYFw","Kathryn Bernardo - Pagdating Ng Panahon (Audio)","2017-10-27T07:12:25.000Z","41483","1059","29","0","73","https://www.youtube.com/watch?v=vLRNXjyHYFw"
