"","id","title","publication_date","viewCount","favoriteCount","likeCount","dislikeCount","commentCount","url"
"106","X-UOjQm8cxg","BRUNA VIOLA-ZUEIRA NO CAMARIM-2012-DANÇANDO AO SOM DO BONDE DO FORRÓ   KKKKKKKKK","2012-06-05T16:57:26.000Z","11362","0","67","3","7","https://www.youtube.com/watch?v=X-UOjQm8cxg"
"107","X3uxXsy0gdA","BRUNA VIOLA RASQUEADO CUIABANO É BEM MATO GROSSO PESCUMA-HENRIQUE-CLAUDINHO).MPG","2011-10-28T19:12:07.000Z","9582","0","44","0","2","https://www.youtube.com/watch?v=X3uxXsy0gdA"
"108","x9Lqqby2Dr4","BRUNA VIOLA SESC POMPÉIA-SP 24-01-2012 CAMINHEIRO-A VACA JÁ FOI PRO BREJO.MPG","2012-01-25T19:55:40.000Z","13181","0","57","5","2","https://www.youtube.com/watch?v=x9Lqqby2Dr4"
"109","XAs3umUZnRc","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T18:42:05.000Z","1885","0","12","1","0","https://www.youtube.com/watch?v=XAs3umUZnRc"
"110","xEUZlPEvWbg","VT BRUNA VIOLA COMODORO.wmv","2010-06-16T13:34:05.000Z","621","0","4","0","0","https://www.youtube.com/watch?v=xEUZlPEvWbg"
"111","XoNYTTxTYo0","BRUNA VIOLA-ARAGUAINHA-MT-2010","2010-09-23T01:23:32.000Z","1490","0","20","0","0","https://www.youtube.com/watch?v=XoNYTTxTYo0"
"112","XplfUN0pJmI","BRUNA VIOLA-BARRA DO BUGRE-MT   2009","2009-09-07T02:50:07.000Z","1503","0","24","1","2","https://www.youtube.com/watch?v=XplfUN0pJmI"
"113","XQo-IQFrmLU","BRUNA VIOLA- BRINCANDO COM A VIOLA.mpg","2010-06-17T23:38:16.000Z","8694","0","18","0","5","https://www.youtube.com/watch?v=XQo-IQFrmLU"
"114","xVPDDMZfyS8","BRUNA VIOLA ENSAIO","2013-08-15T02:37:20.000Z","1530612","0",NA,NA,NA,"https://www.youtube.com/watch?v=xVPDDMZfyS8"
"115","yIM0mQiGbKI","BRUNA VIOLA-PERDOA AMOR-SHOW EM CAMPO NOVO DO PARECIS-MT 05-03-2010.MPG","2010-03-10T18:40:27.000Z","9845","0","18","0","3","https://www.youtube.com/watch?v=yIM0mQiGbKI"
"116","ynGqmzDCGtY","BRUNA VIOLA EM BRASILIA-RODA DE VIOLA NO SHOPPING NA LOJA CASA DO MUSICO.MPG","2010-12-19T13:18:57.000Z","10292","0","101","0","3","https://www.youtube.com/watch?v=ynGqmzDCGtY"
"117","yUEMdD1y2l8","BRUNA VIOLA E O BOI SOBERANO EM BRASNORTE-MT 06-03-2010.MPG","2010-03-10T18:45:03.000Z","21120","0",NA,NA,"2","https://www.youtube.com/watch?v=yUEMdD1y2l8"
"118","YuJmLKtlKrc","BRUNA VIOLA-SINOP-MT-2009","2009-10-04T03:47:38.000Z","333","0","2","0","0","https://www.youtube.com/watch?v=YuJmLKtlKrc"
"119","ZAdxsae8BDM","BRUNA VIOLA- ""PORTUGAL""","2013-10-08T15:47:01.000Z","61416","0",NA,NA,NA,"https://www.youtube.com/watch?v=ZAdxsae8BDM"
"120","zMp5mnolpRA","BRUNA VIOLA-SINOP-MT-2009","2009-10-04T02:49:30.000Z","272","0","1","0","0","https://www.youtube.com/watch?v=zMp5mnolpRA"
"121","zySlAupv428","BRUNA VIOLA-SINOP-MT-2009","2009-10-04T03:30:41.000Z","405","0","4","0","0","https://www.youtube.com/watch?v=zySlAupv428"
