"","id","title","publication_date","viewCount","favoriteCount","commentCount","likeCount","dislikeCount","url"
"1","_bjJxYGKSq4","HOW TO STEAM YOUR FACE AT HOME | PINAKULONG TUBIG PARA SA PIMPLE | ANO ANG BENIFITS","2019-06-15T09:17:24.000Z","767","0","6","21","0","https://www.youtube.com/watch?v=_bjJxYGKSq4"
"2","_dSpipWj-Uc","PAANO PUMAYAT WITHOUT DIET AND EXERCISE LESS THAN ONE MONTH | (tagalog)","2019-10-08T09:37:25.000Z","1485","0","29","48","1","https://www.youtube.com/watch?v=_dSpipWj-Uc"
"3","0IQ1rwpDv3Q","5 CAUSES OF INFERTILITY IN MEN | KULANG SA SEMILYA","2019-11-20T03:43:16.000Z","5062","0","20",NA,NA,"https://www.youtube.com/watch?v=0IQ1rwpDv3Q"
"4","0RmksQZJKPc","7 TIPS PARA MANGANAK NG NORMAL DELIVERY | TAGALOG","2019-11-16T02:22:28.000Z","1011","0","1",NA,NA,"https://www.youtube.com/watch?v=0RmksQZJKPc"
"5","176faX2lruU","CRAYONS BBCREAM BY HBC | 89 PESOS ONLY??| PAK ANG COVERAGE| (TAGALOG)","2019-04-28T10:45:45.000Z","542","0","0","15","0","https://www.youtube.com/watch?v=176faX2lruU"
"6","1ZMiGeXm8Us","DIY BLACKHEAD PEEL OFF MASK | EGG MASK | MURANG BLACKHEAD REMOVER?","2019-08-05T09:22:32.000Z","654","0","11","34","0","https://www.youtube.com/watch?v=1ZMiGeXm8Us"
"7","2PTlFRcAkM4","PAANO BA MABUNTIS AGAD|(simple tips)  | PAANO BA MABUNTIS NG MABILIS","2019-10-30T00:58:54.000Z","230259","0","228",NA,NA,"https://www.youtube.com/watch?v=2PTlFRcAkM4"
"8","458-PvKFB6A","QUICK AND EASY HOMEMADE PIZZA RECIPE | TAGALOG |","2019-05-13T09:44:33.000Z","542","0","22","53","0","https://www.youtube.com/watch?v=458-PvKFB6A"
"9","4fES3v15LWg","KATE YUP HINOSTAGE | SINO ANG NASA LOKOD NITO | ANG TOTOONG KATAUHAN","2019-09-28T07:17:18.000Z","525","0","0","5","0","https://www.youtube.com/watch?v=4fES3v15LWg"
"10","4WJwUu-qC7M","BLYTHE COSMETICS BY CARELINE | ANDREA BAT GANON? | ANDREA BRILLANTES MAKEUP LINE","2019-08-16T07:26:17.000Z","827","0","1",NA,NA,"https://www.youtube.com/watch?v=4WJwUu-qC7M"
"11","53ywWZMbMmc","IGNORING MY SON PRANK | ANG SAKIT |","2019-10-02T01:34:01.000Z","724","0","8","12","0","https://www.youtube.com/watch?v=53ywWZMbMmc"
"12","64eDVm_lw4s","NO BAKE FUDGEE BAR ICE CREAM CAKE | PATOK NA NEGOSYO","2019-12-20T11:30:16.000Z","765","0","1",NA,NA,"https://www.youtube.com/watch?v=64eDVm_lw4s"
"13","6ad9OXYsKTM","JANE DE LEON IS THE NEW DARNA | SINO NGABA SI JANE DE LEON? |","2019-07-17T11:28:23.000Z","1862","0","3","20","0","https://www.youtube.com/watch?v=6ad9OXYsKTM"
"14","6c3eCgmPNgA","KRISPY KANGKONG | HEALTHY SNACK |
SIMPLE RECIPE | SIMPLE STEPS","2019-02-07T06:19:29.000Z","1265","0","5","33","4","https://www.youtube.com/watch?v=6c3eCgmPNgA"
"15","6fQ1RMCvi4c","HOW TO MAKE EASY CHOCO BUTTERNUT ALA DUNKIN | EASY AND QUICK","2019-07-03T01:40:53.000Z","2209","0","12","44","3","https://www.youtube.com/watch?v=6fQ1RMCvi4c"
"16","8EUOzFf0ya8","KOREAN MILK | FRESH FRUITS | WITH JELLY | EASY RECIPE | (TAGLISH)","2019-04-30T03:46:09.000Z","543","0","0","36","0","https://www.youtube.com/watch?v=8EUOzFf0ya8"
"17","95kPW4mQGQU","STRUGGLES OF BEING VLOGGER| I QUIT","2019-11-17T15:01:48.000Z","235","0","4",NA,NA,"https://www.youtube.com/watch?v=95kPW4mQGQU"
