"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","_DQXWaIcwGc","CL - +DONE161201+ (Official Video)","2019-12-04T09:00:11.000Z","8163280","369587","14655","0","18114","https://www.youtube.com/watch?v=_DQXWaIcwGc"
"2","1S7LlVy-ugk","CL - +안해180327+  D-1 TEASER","2019-12-09T11:55:22.000Z","283503","45945","91","0","2012","https://www.youtube.com/watch?v=1S7LlVy-ugk"
"3","BEWC9l2YUcw","CL “In The Name Of Love” Teaser","2019-11-29T03:00:01.000Z","556165","74934","205","0","6454","https://www.youtube.com/watch?v=BEWC9l2YUcw"
"4","dv8nbp96eWk","CL - +소중한 추억(THNX)190519+ (Official Video)","2019-12-17T09:00:11.000Z","536245","69357","188","0","2826","https://www.youtube.com/watch?v=dv8nbp96eWk"
"5","IofMRt7leEM","CL - +처음으로170205+ D-1","2019-12-02T15:00:03.000Z","566914","90242","146","0","5249","https://www.youtube.com/watch?v=IofMRt7leEM"
"6","k4Q-DulyShA","CL - +안해(I QUIT)180327+ (Official Video)","2019-12-10T09:00:13.000Z","1470542","158527","678","0","7069","https://www.youtube.com/watch?v=k4Q-DulyShA"
"7","outk3lqsFHc","CL - +ONE AND ONLY180228+ (Official Video)","2019-12-17T09:00:07.000Z","1102672","113721","447","0","5347","https://www.youtube.com/watch?v=outk3lqsFHc"
"8","r4SfrrFy1xM","CL - +처음으로(REWIND)170205+ (Official Video)","2019-12-04T09:00:10.000Z","2784916","277351","715","0","16049","https://www.youtube.com/watch?v=r4SfrrFy1xM"
"9","r6LNI89Nvo0","CL - +투덜거려본다(PARADOX)171115+ (Official Video)","2019-12-10T09:00:09.000Z","1151460","141881","441","0","6212","https://www.youtube.com/watch?v=r6LNI89Nvo0"
