"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","2ajfjeFrVBg","Our First Ever VLOG!!| Going back to the island + sneak peek of our unfinished home","2019-12-31T01:01:14.000Z","2086908","112626","853","0","6740","https://www.youtube.com/watch?v=2ajfjeFrVBg"
"2","b8aEy05mX18","New Year Vlog | Fun last day of the year in Daku Island","2020-01-08T04:51:54.000Z","488069","24817","211","0","2848","https://www.youtube.com/watch?v=b8aEy05mX18"
"3","F_FoOaG8tbk","Andi & Ellie Make Banana Bread | Andi Eigenmann","2019-04-04T03:58:16.000Z","163829","3919","55","0","193","https://www.youtube.com/watch?v=F_FoOaG8tbk"
"4","OJel-7p6gIc","Easy Raspberry Acai Bowl | Andi Eigenmann","2018-12-15T05:38:00.000Z","70783","3048","34","0","252","https://www.youtube.com/watch?v=OJel-7p6gIc"
"5","ySvQRWvZGIk","Ellie & I TRY to Bake a Vegan Cake | Andi Eigenmann","2018-12-10T09:48:24.000Z","533369","15800","261","0","733","https://www.youtube.com/watch?v=ySvQRWvZGIk"
