"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","_8NDEh5VZ4g","29 TIP AGAR TERLIHAT AWET MUDA","2019-11-27T14:00:05.000Z","38","1","0","0","0","https://www.youtube.com/watch?v=_8NDEh5VZ4g"
"2","_ZaU8tBD7Rc","27 HACKS KEHIDUPAN UNTUK SITUASI MEMALUKAN","2019-12-26T03:00:02.000Z","1320","52","3","0","11","https://www.youtube.com/watch?v=_ZaU8tBD7Rc"
"3","-fbb0GPOjaM","33 HAL MENJENGKELKAN YANG SELALU SAJA TERJADI","2019-12-28T11:22:04.000Z","4717","60","6","0","3","https://www.youtube.com/watch?v=-fbb0GPOjaM"
"4","-rcpXO67mis","30 HACKS PAKAIAN MENAKJUBKAN YANG MENGHEMAT UANGMU","2019-12-23T14:00:00.000Z","601","20","1","0","4","https://www.youtube.com/watch?v=-rcpXO67mis"
"5","-xLwmGagxIQ","29 HACKS RAMBUT DAN GAYA RAMBUT UNTUK PARA GADIS","2020-01-01T03:00:01.000Z","1743","36","1","0","4","https://www.youtube.com/watch?v=-xLwmGagxIQ"
"6","0OJlbDcspDc","37 TRIK UNIK SEPUTAR MAKEUP INI MEMBUATMU MENJADI PUSAT PERHATIAN","2019-11-24T09:00:01.000Z","29","0","0","0","0","https://www.youtube.com/watch?v=0OJlbDcspDc"
"7","0t7T0w_qFgo","56 TRIK-TRIK MANJUR TAK KENAL WAKTU","2019-11-25T14:00:00.000Z","151","1","2","0","0","https://www.youtube.com/watch?v=0t7T0w_qFgo"
"8","1bMmUpHeJ_o","47 HACKS YANG BISA MENURUNKAN BERAT BADAN SETELAH LIBURAN","2019-12-28T12:21:18.000Z","2745","61","5","0","9","https://www.youtube.com/watch?v=1bMmUpHeJ_o"
"9","26VpjMksdeM","18 IDE KREATIF UNTUK MEMBUAT FOTOMU VIRAL","2019-12-12T14:00:00.000Z","372","8","1","0","0","https://www.youtube.com/watch?v=26VpjMksdeM"
"10","2B8YwIwtbQI","25 KERAJINAN MURAH YANG BELUM PERNAH KAMU LIHAT","2019-12-12T09:00:00.000Z","402","11","0","0","2","https://www.youtube.com/watch?v=2B8YwIwtbQI"
