"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","F_d2-GE9Zq4","Mit REWI im CLUB feiern","2019-11-08T11:59:20.000Z","44171","3271","28","0","133","https://www.youtube.com/watch?v=F_d2-GE9Zq4"
"2","f2K9rWuBHeY","Dummes Q & A (und ich zeige mich)","2020-01-04T11:29:07.000Z","26116","3684","21","0","441","https://www.youtube.com/watch?v=f2K9rWuBHeY"
"3","Q1aZmsagcNE","Idioten in Norwegen (ohne Kopfhörer, danke)","2019-12-12T10:56:33.000Z","34840","3024","14","0","178","https://www.youtube.com/watch?v=Q1aZmsagcNE"
"4","XYB1ww4-hxc","Wie ein Otter alles ZERSTÖRT","2019-10-25T10:44:30.000Z","61119","4631","58","0","267","https://www.youtube.com/watch?v=XYB1ww4-hxc"
"5","Yfy0FSNd6Wk","Schulstreiche","2019-11-01T11:23:49.000Z","31280","2547","21","0","88","https://www.youtube.com/watch?v=Yfy0FSNd6Wk"
"6","Z7e06soHLzA","Wie bin ich PALUTENS CUTTER geworden ?","2019-12-29T16:50:24.000Z","231714","20532","301","0","1371","https://www.youtube.com/watch?v=Z7e06soHLzA"
