"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","_j7vi9Ho9T4","『絕代雙Q』｜兄弟大PK｜超好玩砸派機 ft.彼得爸與蘇珊媽｜雙Q開箱","2019-08-03T11:00:02.000Z","48651","777","23","0","46","https://www.youtube.com/watch?v=_j7vi9Ho9T4"
"2","-1orNhMtQiA","『絕代雙Q』｜最會吃炸雞的情侶 炸雞盲測 ｜雙Q挑戰","2019-08-14T11:00:00.000Z","10765","283","1","0","31","https://www.youtube.com/watch?v=-1orNhMtQiA"
"3","-h-3eF-WsHc","『絕代雙Q』｜五星級圓山大飯店開箱｜一晚只要3400 泳池有五公尺深｜雙QVlog","2019-10-12T11:00:01.000Z","23746","438","10","0","52","https://www.youtube.com/watch?v=-h-3eF-WsHc"
"4","-Ks4LA5Kuhg","宗岳愛說笑【海獅笑話】｜#岳來岳好笑系列｜第11集","2017-10-18T13:00:01.000Z","604","16","1","0","7","https://www.youtube.com/watch?v=-Ks4LA5Kuhg"
"5","-YcYulz0gGE","宗岳愛說笑【鴨子笑話】｜#岳來岳好笑系列｜第29集","2018-04-07T15:00:11.000Z","662","23","2","0","7","https://www.youtube.com/watch?v=-YcYulz0gGE"
"6","0fM5ZAtKnyw","【懶人火鍋開箱】｜#宗岳開箱系列","2017-10-25T04:00:00.000Z","5351","107","1","0","6","https://www.youtube.com/watch?v=0fM5ZAtKnyw"
"7","0m-UhWbIx_8","宗岳愛說笑【豆子的故事x7】｜#岳來岳好笑系列｜第3集","2017-08-23T13:03:48.000Z","1665","42","0","0","7","https://www.youtube.com/watch?v=0m-UhWbIx_8"
"8","0OFNJPGv7Gs","『絕代雙Q』｜泰國曼谷必買必逛｜畢旅最多人去的地方？｜雙QVlog","2019-07-13T11:00:00.000Z","14845","205","14","0","12","https://www.youtube.com/watch?v=0OFNJPGv7Gs"
"9","1qYRgd2UIXo","『絕代雙Q』｜生日策劃超感人驚喜｜女友超感動｜Vlog","2019-06-22T11:00:02.000Z","42456","695","26","0","135","https://www.youtube.com/watch?v=1qYRgd2UIXo"
"10","1vWYcyxFJnw","『絕代雙Q』｜語音翻譯滑鼠真的不要買！hii語音滑鼠Ｖ.S Siri｜開箱系列｜","2019-07-27T11:00:00.000Z","7126","140","3","0","14","https://www.youtube.com/watch?v=1vWYcyxFJnw"
"11","2nzD0p5nneQ","『絕代雙Q』｜宗岳拿自己的頭髮開玩笑｜阿嬤的技術很好｜雙Q日常Vlog","2019-10-05T11:00:00.000Z","20613","462","7","0","121","https://www.youtube.com/watch?v=2nzD0p5nneQ"
"12","2rT93XclAUU","宗岳愛說笑【即興作曲】｜#岳來岳好笑系列｜第27集","2018-03-25T14:00:00.000Z","345","19","2","0","3","https://www.youtube.com/watch?v=2rT93XclAUU"
"13","2SZ-NHQIqAI","宗岳愛說笑【綠豆笑話】｜#岳來岳好笑系列｜第17集","2017-12-06T13:00:00.000Z","622","22","0","0","1","https://www.youtube.com/watch?v=2SZ-NHQIqAI"
"14","4Yclri25mFw","宗岳愛說笑【跟古娃娃說笑話】｜#岳來岳好笑系列｜第19集 feat.古娃娃 feat.喵喵 feat.彼得爸與蘇珊媽","2017-12-27T13:43:40.000Z","5962","74","0","0","3","https://www.youtube.com/watch?v=4Yclri25mFw"
"15","51XyjJqNK7k","『絕代雙Q』｜雙Q一日偽爸媽 我們有兩個兒子了！！ ｜長灘島ep.5 ｜ft.彼得爸與蘇珊媽","2019-09-14T11:00:01.000Z","75172","1165","23","0","115","https://www.youtube.com/watch?v=51XyjJqNK7k"
"16","563pwhUOmlc","『絕代雙Q』雙Q美容院｜【情侶互染頭髮...到底成功還是失敗呢】#挑戰系列","2019-04-06T12:00:00.000Z","5812","107","1","0","5","https://www.youtube.com/watch?v=563pwhUOmlc"
"17","5QwXJVPyps8","『絕代雙Q』【5月淘寶開箱】| 高cp值夏季衣服和生活小物","2019-05-25T11:00:01.000Z","21558","238","22","0","28","https://www.youtube.com/watch?v=5QwXJVPyps8"
"18","5Rlh-8WBy94","『絕代雙Q』｜薇0以後都要素顏出門，第一次霧眉就愛上 ｜","2019-10-16T11:00:00.000Z","42006","619","12","0","41","https://www.youtube.com/watch?v=5Rlh-8WBy94"
"19","5Yw6uV63dS4","『絕代雙Q』宗岳惡整薇伶失敗｜【男友必學技能-幫女友吹出漂亮的捲髮】","2019-04-27T11:00:00.000Z","6210","109","2","0","3","https://www.youtube.com/watch?v=5Yw6uV63dS4"
"20","6iTpjB-WcHE","『絕代雙Q』｜日本超商零食必吃必買｜買了19樣｜日本美食","2019-12-25T11:00:00.000Z","15767","387","5","0","5","https://www.youtube.com/watch?v=6iTpjB-WcHE"
