"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","5jW6lqyp7rg","聖賢太子_壽誕  聖賢太子宮建宮十九年以來 最大法會預告片 哪吒 中壇元帥 金龍大元帥","2019-10-22T17:20:02.000Z","17660","162","4","0","3","https://www.youtube.com/watch?v=5jW6lqyp7rg"
"2","aU0i3SI3hzE","聖賢太子--四川  祖廟紀錄片拍攝 黑曜攝影工作室","2019-10-01T09:46:26.000Z","136560","1021","85","0","47","https://www.youtube.com/watch?v=aU0i3SI3hzE"
"3","BGb49yr8DaM","聖賢太子__祖廟(番外篇) 天官武財神突然降駕 大家措手不及 讓財神氣PUPU?","2019-10-18T04:46:58.000Z","96538","694","46","0","70","https://www.youtube.com/watch?v=BGb49yr8DaM"
"4","HKGBgLGg0ew","百年神廟遭蟲害?!曾經殘破不堪的青山靈安尊王祖廟重建全紀錄(預告) 南投 聖賢太子宮 黑曜攝影工作室 重建經費尚有短缺 歡迎十方善信發心贊助","2019-11-22T18:44:15.000Z","31631","245","12","0","37","https://www.youtube.com/watch?v=HKGBgLGg0ew"
"5","mAjVoOaDwMk","聖賢太子-起源 宮主哲瑋訪談篇 黑曜攝影工作室","2019-10-01T22:27:44.000Z","81343","559","41","0","26","https://www.youtube.com/watch?v=mAjVoOaDwMk"
"6","MCE91W01ETY","聖賢太子--西域   全台最小乩身  紫晴前往新疆正式拜師紀錄片 黑曜攝影工作室","2019-10-03T05:40:04.000Z","714790","5322","486","0","606","https://www.youtube.com/watch?v=MCE91W01ETY"
"7","YyKLbzmh0q4","震驚!! 紫晴有喜歡的男孩子了?? 新疆行之後 紫晴過得如何呢?  大感謝1萬訂閱Q&A","2019-12-29T21:31:46.000Z","71535","1300","35","0","99","https://www.youtube.com/watch?v=YyKLbzmh0q4"
