"","id","title","publication_date","viewCount","favoriteCount","commentCount","likeCount","dislikeCount","url"
"27","iaO-SdTPRdQ","把電腦CPU加熱到600度！指甲大小的玻璃片價值2千元？ 【歪點子實驗室】","2019-09-17T12:24:43.000Z","2487","0","6","36","1","https://www.youtube.com/watch?v=iaO-SdTPRdQ"
"28","IGUwmT4Rwto","蚊香對蟑螂有效嗎？蟑螂在蚊香的熏陶下能堅持多久？前方高能！ 【歪點子實驗室】","2019-08-17T10:12:22.000Z","14094","0","38","221","11","https://www.youtube.com/watch?v=IGUwmT4Rwto"
"29","IkHdluu98zc","真空箱+1000度鐵球！棉花糖到底遭受了怎樣的摧殘和折磨？ 【歪點子實驗室】","2019-08-11T08:49:31.000Z","1535","0","9","16","1","https://www.youtube.com/watch?v=IkHdluu98zc"
"30","IurwTPZ8_10","驚奇！蟑螂真的能在真空中存活24小時嗎？結果出乎你的意料！ 【歪點子實驗室】","2019-08-06T10:17:28.000Z","28252","0","49","326","17","https://www.youtube.com/watch?v=IurwTPZ8_10"
"31","J-7NPpvMhIU","給“麵包蟲”吃點“芥末”會怎麼樣？萬萬沒想到比興奮劑還猛！ 【歪點子實驗室】","2019-07-27T10:23:43.000Z","263350","0","305","4595","848","https://www.youtube.com/watch?v=J-7NPpvMhIU"
"32","jcd_G8nMjNY","重口味！ “蟑螂”會吃自己的“大便”嗎？這個實驗真的太邪惡了！ 【歪點子實驗室 】","2019-07-29T11:10:57.000Z","52418","0","137","1058","73","https://www.youtube.com/watch?v=jcd_G8nMjNY"
"33","JewmTqDmIYg","寵物大合集！給大家看看我在家裡養了多少小動物！都是實驗需要的！ 【歪點子實驗室】","2019-10-18T10:10:51.000Z","8744","0","49","296","5","https://www.youtube.com/watch?v=JewmTqDmIYg"
"34","JVj1Ac-781k","用1000度鐵球烤雞蛋！然後餵給蟑螂吃！蟑螂會喜歡嗎？前方高能！ 【歪點子實驗室】","2019-09-05T11:57:45.000Z","29062","0","36","225","17","https://www.youtube.com/watch?v=JVj1Ac-781k"
"35","KPjr1bSnecQ","給水蛭喝點可樂會怎麼樣？探索肥宅快樂水不為人知的功效！【歪點子實驗室】","2019-12-12T09:06:47.000Z","25170","0","63",NA,NA,"https://www.youtube.com/watch?v=KPjr1bSnecQ"
"36","KsLk2F4RjNI","給小強一次性抽一整包煙會怎麼樣？嚇得我趕緊去抽根煙壓壓驚！ 【歪點子實驗室】","2020-01-06T07:29:16.000Z","6761","0","32",NA,NA,"https://www.youtube.com/watch?v=KsLk2F4RjNI"
"37","MFhqVEINK48","結果讓真吃驚！把麵包蟲和蟑螂放一起考驗生存能力，誰能存活到最後？ 【歪點子實驗室】","2019-12-24T06:43:44.000Z","95280","0","157",NA,NA,"https://www.youtube.com/watch?v=MFhqVEINK48"
"38","mgltCefJ5Zg","給“水蛭”身上撒點“鹽”會怎麼樣？ “螞蝗”也會流血？ 【歪點子研究所】","2019-12-21T08:29:26.000Z","88292","0","281",NA,NA,"https://www.youtube.com/watch?v=mgltCefJ5Zg"
"39","MuFDJYi9N3g","給“水蛭”喝點“檸檬汁”會怎麼樣？最後奇蹟般的變成了“鼻涕蟲”？ 【歪點子實驗室】","2019-11-30T14:41:06.000Z","44608","0","92","657","62","https://www.youtube.com/watch?v=MuFDJYi9N3g"
"40","NIvOrob4pRA","前方高能！給麵包蟲喝點酒，麵包蟲會喝醉嗎？還能醒過來嗎？ 【歪點子實驗室】","2019-08-08T11:58:00.000Z","5629","0","11","74","3","https://www.youtube.com/watch?v=NIvOrob4pRA"
"41","No2lCB_BAGQ","被麵包蟲掏空身體的螃蟹回來復仇了！猛吃麵包蟲，一洗前恥！ 【歪點子實驗室】","2019-12-03T12:40:13.000Z","48133","0","26","266","12","https://www.youtube.com/watch?v=No2lCB_BAGQ"
"42","OaTtigDml34","把小強凍成一塊冰，敲碎冰塊的瞬間小強碎了一地！嘎嘣脆！ 【歪點子實驗室】","2019-08-14T10:37:10.000Z","67673","0","129","652","193","https://www.youtube.com/watch?v=OaTtigDml34"
"43","obINai20GpA","高能！用汽車發動機烤牛排和雞翅！真香！還要什麼燒烤箱電磁爐啊！ 【歪點子實驗室】","2019-07-22T12:31:20.000Z","1504","0","4","34","2","https://www.youtube.com/watch?v=obINai20GpA"
"44","oIDau8j4CMg","點燃1000根火柴，用來烤雞蛋一定很爽！能把雞蛋烤熟嗎？ 【歪點子實驗室】","2019-09-20T10:16:02.000Z","2953","0","5","47","1","https://www.youtube.com/watch?v=oIDau8j4CMg"
"45","OippNd_moKk","給“水蛭”喝點“醋精”會怎麼樣？它居然真的成精了！ 【歪點子實驗室】","2019-12-26T06:11:06.000Z","37179","0","88",NA,NA,"https://www.youtube.com/watch?v=OippNd_moKk"
"46","OsEAdJdF8pY","超酷的“小強動力版汽車”，媽媽再也不用擔心我加不起汽油了！ 【歪點子實驗室】","2019-11-06T10:41:23.000Z","5073","0","38","150","8","https://www.youtube.com/watch?v=OsEAdJdF8pY"
"47","OXE3mQItSWA","用1000度的鐵球烤蟑螂！真香！高溫消毒放心吃！重口味慎入！ 【歪點子實驗室】","2019-08-03T16:11:36.000Z","10212","0","29","134","7","https://www.youtube.com/watch?v=OXE3mQItSWA"
"48","p_rk2HtHSO0","用1000度的鐵球做爆米花！效果出乎你的想像！這才是真香！ 【歪點子實驗室】","2019-09-01T02:00:02.000Z","6851","0","15","82","5","https://www.youtube.com/watch?v=p_rk2HtHSO0"
"49","paUQRTvYodo","給小強喝最辣的濃縮辣椒油會怎麼樣？看著就無比酸爽！ 【歪點子實驗室】","2019-08-02T11:30:08.000Z","31352","0","86","370","29","https://www.youtube.com/watch?v=paUQRTvYodo"
"50","pprLhPEjwII","常溫下真空中的水會沸騰嗎？在真空中我下面給你吃！ 【歪點子實驗】","2019-07-19T10:06:34.000Z","2100","0","4","25","2","https://www.youtube.com/watch?v=pprLhPEjwII"
"51","pq10yl4y_Z4","蜈蚣的毒牙到底有多厲害？咬一隻蟑螂試試就知道了！ 【歪點子實驗室】","2019-12-17T06:26:16.000Z","129393","0","363",NA,NA,"https://www.youtube.com/watch?v=pq10yl4y_Z4"
"52","QAgJSCOyDcQ","給“蟑螂”喝點“檸檬汁”會怎麼樣？乾脆直接注射檸檬汁吧！ 【歪點子實驗室】","2019-08-09T11:52:38.000Z","57040","0","140","712","79","https://www.youtube.com/watch?v=QAgJSCOyDcQ"
"53","r3YplUnefBs","讓蟑螂親自體驗一下“滴蠟”的感覺！聽說會很爽的樣子！ 【歪點子實驗室】","2019-08-12T08:09:40.000Z","12697","0","35","144","13","https://www.youtube.com/watch?v=r3YplUnefBs"
"54","rbPC3JHsPVY","高能！把“水蛭”丟進“花生油”裡會怎麼樣？ “螞蝗”能堅持到最後嗎？ 【歪點子實驗室】","2019-12-05T12:17:20.000Z","265072","0","195","3034","258","https://www.youtube.com/watch?v=rbPC3JHsPVY"
"55","SBdAtt22iR0","燃燒吧小強！用1000根火柴拼成一隻小強，點燃的瞬間極度舒適【歪點子實驗室】","2019-07-23T10:27:36.000Z","10010","0","15","187","7","https://www.youtube.com/watch?v=SBdAtt22iR0"
"56","TAW_VQufHOk","給水蛭喝點開塞露會怎麼樣？我要給水蛭治療便秘！ 【歪點子實驗室】","2019-12-28T04:57:58.000Z","32604","0","64","770","43","https://www.youtube.com/watch?v=TAW_VQufHOk"
"57","ThN9RkhLxCo","蟑螂被蝎子的毒针蛰一下会怎么样？UP主在实验过程中发生意外！【歪点子实验室】","2019-12-14T08:00:07.000Z","156477","0","182",NA,NA,"https://www.youtube.com/watch?v=ThN9RkhLxCo"
"58","tIw4BI5_3So","家裡蟑螂氾濫，帶大家看看我家有多少蟑螂！我是如何滅蟑螂的！ 【歪點子實驗室】","2019-10-11T10:54:34.000Z","11202","0","90","168","7","https://www.youtube.com/watch?v=tIw4BI5_3So"
"59","TW9RHKrwuDk","給“水蛭”喝點“漱口水”會怎麼樣？不知道水蛭有沒有牙齒？ 【歪點子實驗室】","2019-12-27T07:02:09.000Z","28745","0","30",NA,NA,"https://www.youtube.com/watch?v=TW9RHKrwuDk"
"60","TXQK4DLo3uM","把“麵包蟲”丟進“真空箱”裡會怎麼樣？聽說麵包蟲會炸碎？高能時刻！【歪點子實驗室】","2019-08-29T10:25:30.000Z","61927","0","122","729","45","https://www.youtube.com/watch?v=TXQK4DLo3uM"
"61","ub_wvk8NiwQ","易拉罐加熱到一千度泡方便麵！真香！一定要看到最後！有驚喜！ 【歪點子實驗室】","2019-09-16T10:54:38.000Z","2098","0","3","44","4","https://www.youtube.com/watch?v=ub_wvk8NiwQ"
"62","UgBIPhUjTTc","用生石灰煮雞蛋真的很美味，不是瞎說，我真的吃了！ 【歪點子實驗室】","2019-09-21T10:01:25.000Z","2861","0","15","38","3","https://www.youtube.com/watch?v=UgBIPhUjTTc"
"63","UGQd5rjzGYk","把100條麵包蟲泡在502膠水中，10分鐘以​​後奇蹟發生了！ 【歪點子實驗室】","2019-08-13T11:08:14.000Z","39462","0","59","342","80","https://www.youtube.com/watch?v=UGQd5rjzGYk"
"64","UliZ7SQ2MsM","用1000度的鐵球泡方便麵，真香！一定要看到最後！高能！【歪點子實驗室】","2019-07-21T00:00:00.000Z","2483","0","18","39","1","https://www.youtube.com/watch?v=UliZ7SQ2MsM"
"65","upCLC0io3gs","重口！高能！ “鼻涕蟲”大戰“麵包蟲”，麵包蟲吃了一大口鼻涕？ 【歪點子實驗室】","2019-07-26T11:05:32.000Z","20656","0","25","184","14","https://www.youtube.com/watch?v=upCLC0io3gs"
"66","V3Cysv4tkpI","高能！蟑螂的酒量如何？喝50度二鍋頭和95度酒精有什麼區別？ 【歪點子實驗室】","2019-07-20T06:23:20.000Z","9926","0","30","149","6","https://www.youtube.com/watch?v=V3Cysv4tkpI"
"67","vIDt7GV3zA0","給蟑螂喝風油精，提神醒腦還是昏昏欲睡？前方高能！ 【歪點子實驗室】","2019-08-23T11:34:48.000Z","12782","0","18","150","12","https://www.youtube.com/watch?v=vIDt7GV3zA0"
"68","VqCZY4PWsS4","把“水蛭”丟進“濃硫酸”裡會怎麼樣？被這個結果震驚到了！ 【歪點子實驗室】","2019-12-07T14:44:35.000Z","37768","0","58","343","47","https://www.youtube.com/watch?v=VqCZY4PWsS4"
"69","VUJqpzdENpA","“蟑螂”會吃同類的“骨灰”嗎？小強能守住自己的道德底線嗎？拭目以待！ 【歪點子實驗室】","2019-11-22T10:30:14.000Z","2779","0","16","58","5","https://www.youtube.com/watch?v=VUJqpzdENpA"
"70","VzjyBEo_EZM","可樂在真空中會爆炸嗎？再來顆1000度的鐵球會怎麼樣？ 【歪點子實驗室】","2019-08-21T00:00:03.000Z","2199","0","9","32","3","https://www.youtube.com/watch?v=VzjyBEo_EZM"
"71","W19YVs-dGmc","鼻涕蟲怕鹽？往“鼻涕蟲”身上撒一點鹽，給鼻涕蟲擤鼻涕！ 【歪點子實驗室】","2019-09-06T11:31:31.000Z","31497","0","131","265","65","https://www.youtube.com/watch?v=W19YVs-dGmc"
"72","wJ3z-Kae_No","蟑螂一粒蛋，可以生出好多小蟑螂！看看剛出生的“小蟑螂”，莫名有點可愛【歪點子實驗室】","2019-07-28T00:00:06.000Z","91881","0","109","672","73","https://www.youtube.com/watch?v=wJ3z-Kae_No"
"73","WtFcWf9rQks","給“蟑螂”吃“涪陵榨菜”，小強的奢侈腐敗生活！活的還沒有小強幸福！ 【歪點子實驗室】","2019-11-28T13:44:21.000Z","2619","0","7","35","2","https://www.youtube.com/watch?v=WtFcWf9rQks"
"74","xuoybB3-4yw","慎入！給“水蛭”喝最辣的“辣椒油”會怎麼樣？瞬間菊花一緊！ 【歪點子實驗室】","2019-07-30T11:41:40.000Z","80173","0","144","578","104","https://www.youtube.com/watch?v=xuoybB3-4yw"
"75","yBtIyRpogXQ","清涼一刻！給“蟑螂”塗一點“花露水”會怎麼樣？你身上有它的香水味！ 【歪點子實驗室】","2019-12-01T01:00:07.000Z","3281","0","11","53","3","https://www.youtube.com/watch?v=yBtIyRpogXQ"
"76","YCEQmqq0OXU","給“蟑螂”吃點“芥末”會怎麼樣？萬萬沒想到是這個結果！ 【歪點子實驗室】","2019-07-25T11:42:51.000Z","154509","0","167","1630","149","https://www.youtube.com/watch?v=YCEQmqq0OXU"
"77","YF0RV6xxNgw","把“水蛭”丟進“真空箱”裡會怎麼樣？ “螞蝗”連真空都不怕？ 【歪點子實驗室】","2019-08-27T10:05:06.000Z","11254","0","37","193","12","https://www.youtube.com/watch?v=YF0RV6xxNgw"
"78","ySmoaHZypvM","用“噴火槍”烤雞蛋！味道怎麼樣？再餵給麵包蟲吃！高能警告！ 【歪點子實驗室】","2019-09-03T11:00:15.000Z","15405","0","21","208","9","https://www.youtube.com/watch?v=ySmoaHZypvM"
"79","Yy3VboRDT4g","把水蛭丟進95#汽油裡會怎麼樣？卻不知水蛭的生命力如此強大！ 【歪點子實驗室】","2020-01-07T08:14:31.000Z","4421","0","56",NA,NA,"https://www.youtube.com/watch?v=Yy3VboRDT4g"
"80","Z_Mx4E037s4","重口味！慎入！全球首例蟑螂換頭手術，強悍的小強能存活多久？ 【歪點子實驗室】","2019-07-18T09:59:47.000Z","52958","0","164","786","189","https://www.youtube.com/watch?v=Z_Mx4E037s4"
"81","ZnH6xjCfXbE","當老乾媽遇到1000度的鐵球，火山爆發後的“辣椒碳”真香！ 【歪點子實驗室】","2019-08-05T11:43:11.000Z","1333","0","10","28","0","https://www.youtube.com/watch?v=ZnH6xjCfXbE"
