"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","_-Czq_kwpPA","柯文哲烏龍領表？黃國昌參選總統？","2019-09-19T00:33:39.000Z","3932","377","3","0","34","https://www.youtube.com/watch?v=_-Czq_kwpPA"
"2","_665tLdIr_0","快報！韓蔡宋辯論協商結果出爐！三立有没有爭到主辦呢!?","2019-12-18T06:35:06.000Z","98961","10307","52","0","639","https://www.youtube.com/watch?v=_665tLdIr_0"
"3","_IJWYZ6dmsw","拒上三立，下架柯建銘","2019-12-25T01:42:15.000Z","22229","3634","9","0","110","https://www.youtube.com/watch?v=_IJWYZ6dmsw"
"4","_MpTv1TqgOQ","以後踩腳踏車直播有伴了，陪侯漢廷組裝健身車","2020-01-07T02:48:10.000Z","13383","1486","3","0","30","https://www.youtube.com/watch?v=_MpTv1TqgOQ"
"5","-8pijNuhC6A","侯漢廷政治talk秀來啦～說不好算羅智強的!","2019-08-15T15:43:20.000Z","171154","10409","78","0","437","https://www.youtube.com/watch?v=-8pijNuhC6A"
"6","-di7IB9mYgg","趙少康街講耶！#費鴻泰、江岷欽、徐巧芯、羅智強 少康戰情室街頭版108.12.26","2019-12-26T03:25:34.000Z","344962","17949","201","0","1298","https://www.youtube.com/watch?v=-di7IB9mYgg"
"7","-hJ9j42PsIk","拿水果刀也不行?  蘇貞昌你有事嗎","2019-08-06T09:00:00.000Z","3862","215","1","0","12","https://www.youtube.com/watch?v=-hJ9j42PsIk"
"8","-KFDp8BoH5A","超瞎共諜案，羅智強電的民進黨無話可說 #241街講在中正區和平西路一段重慶南路三段口 2019.11.27","2019-11-27T00:13:47.000Z","14912","2653","5","0","205","https://www.youtube.com/watch?v=-KFDp8BoH5A"
"9","-SI5N5hUOg4","1221 高雄遊行現場，韓國瑜必勝！","2019-12-21T05:35:00.000Z","198364","12597","120","0","337","https://www.youtube.com/watch?v=-SI5N5hUOg4"
"10","-sXA0Ga5Rqc","中選會淪助選會，覺青都變啞巴了？","2019-07-19T09:00:00.000Z","7093","405","2","0","32","https://www.youtube.com/watch?v=-sXA0Ga5Rqc"
"11","-tMxzPvSOXU","從中華民國是流亡政府，到中華民國不是誰的專利。蔡英文對中華民國的愛如菜瓜布 ＃羅智強 #第96場街頭演講在忠孝與復興路口","2019-10-11T07:37:13.000Z","7230","1377","8","0","87","https://www.youtube.com/watch?v=-tMxzPvSOXU"
"12","-x7t182ydgM","韓國瑜／蔡英文政見三交鋒 年輕人來找碴","2019-12-27T12:49:31.000Z","25444","2060","15","0","45","https://www.youtube.com/watch?v=-x7t182ydgM"
"13","000bYeck9bA","市政不聊天＃1 柯文哲說5年公共運輸無人化，做得到嗎？","2019-05-25T05:20:14.000Z","433","49","6","0","11","https://www.youtube.com/watch?v=000bYeck9bA"
"14","0e_izxJg-wk","蘇貞昌騙神騙鬼、無恥說謊。陳長文：為了政治，需要這麼沒人性？ #第208場街講在文山區木新市場","2019-10-26T02:06:45.000Z","37907","3157","19","0","162","https://www.youtube.com/watch?v=0e_izxJg-wk"
"15","0ENNyqW7ouw","柯文哲組黨 羅智強：樂見鯰魚，激活藍綠。","2019-10-24T10:24:51.000Z","1933","222","2","0","19","https://www.youtube.com/watch?v=0ENNyqW7ouw"
"16","0kCFG-YdZ40","李小姐氣到發抖，尤女士怕到失眠，蔡英文妳是這樣對付人民嗎？","2020-01-04T06:28:07.000Z","37325","3229","19","0","169","https://www.youtube.com/watch?v=0kCFG-YdZ40"
"17","1O4fJVz_Qdk","卡神楊蕙如vs鬼王林昶佐，神鬼交鋒搶補助！羅智強x游淑慧x邱于軒","2019-12-18T02:50:22.000Z","40608","4143","23","0","179","https://www.youtube.com/watch?v=1O4fJVz_Qdk"
"18","1ZkHma5Wv4M","護司法，拒投民進黨，高涌誠下台！羅智強民主公車重裝上陣！","2019-05-21T08:30:00.000Z","2504","277","1","0","16","https://www.youtube.com/watch?v=1ZkHma5Wv4M"
"19","1zW7xcmWWZk","周美青偷報紙？腦需要多綠才會相信這鬼話？","2019-06-26T10:35:40.000Z","9999","293","4","0","30","https://www.youtube.com/watch?v=1zW7xcmWWZk"
"20","2-ETlbJfsI0","1221挺韓大遊行，前往微笑公園中","2019-12-21T08:05:37.000Z","67094","6227","24","0","149","https://www.youtube.com/watch?v=2-ETlbJfsI0"
"21","23tEeTPAmYU","賴清德潰敗成定局，1450吃飽太閒，變成假韓粉？","2019-05-03T09:06:39.000Z","7450","171","5","0","15","https://www.youtube.com/watch?v=23tEeTPAmYU"
"22","2Ibn2hHIiEQ","英皇保位，不惜嚇扁黑賴，三種方式都很難看！","2019-05-02T06:41:44.000Z","2098","90","0","0","8","https://www.youtube.com/watch?v=2Ibn2hHIiEQ"
"23","2Q4Hunz1bOU","李進勇為何重要？！ 因為他將是民進黨用來撃殺韓國瑜的頭號「賞金獵人」！","2019-05-01T07:13:54.000Z","3388","92","2","0","5","https://www.youtube.com/watch?v=2Q4Hunz1bOU"
"24","2ZTf0zbzNIY","雨綿綿，智強護司法不休息，#護司法街講215  在和平新生路口","2019-10-31T00:37:47.000Z","2600","717","2","0","51","https://www.youtube.com/watch?v=2ZTf0zbzNIY"
"25","34Yn22xb_SQ","街頭大調查：柯文哲推智慧販賣機進校園，你贊成嗎？#羅智強 #第91場街講在西門町","2019-10-07T10:14:33.000Z","3038","508","7","0","47","https://www.youtube.com/watch?v=34Yn22xb_SQ"
"26","3cb09b1LvZA","臉書小編變貪汙犯，嚇死人!","2019-06-20T08:21:21.000Z","6843","568","3","0","44","https://www.youtube.com/watch?v=3cb09b1LvZA"
"27","3hq29yZR2vA","撥亂反正，就選林奕華！羅智強林奕華在白蘭市場108.12.28","2019-12-28T02:26:36.000Z","16300","2108","2","0","26","https://www.youtube.com/watch?v=3hq29yZR2vA"
"28","3kGqSzaHLA4","國民黨前再起義，給我亮眼不分區！向吳敦義主席再建言！","2019-11-14T14:17:23.000Z","150370","8665","71","0","249","https://www.youtube.com/watch?v=3kGqSzaHLA4"
"29","3tkkAOcGN1Q","卓榮泰罵吳敦義！？卓知道恥字怎麼寫嗎？#236場街講在萬華 2019.11.21","2019-11-21T00:49:58.000Z","7914","1508","6","0","89","https://www.youtube.com/watch?v=3tkkAOcGN1Q"
"30","3UTdt7GXHRQ","柯文哲這次很大方，肯定馬英九政策!","2019-05-31T04:30:01.000Z","3723","144","6","0","25","https://www.youtube.com/watch?v=3UTdt7GXHRQ"
"31","3X2d-h_lpCg","鬼島那些事 導演剪輯版 幕後花絮大公開","2019-12-15T00:00:01.000Z","3972","551","0","0","41","https://www.youtube.com/watch?v=3X2d-h_lpCg"
"32","4_SiT7FCGrk","如果侯友宜罵台獨O你娘？大港開唱扯在哪裡？ #護公投街講74 #羅智強","2019-09-24T00:39:12.000Z","142263","8943","104","0","509","https://www.youtube.com/watch?v=4_SiT7FCGrk"
"33","403kLxohdi0","韓國瑜／蔡英文第二場政見 即時評論","2019-12-25T08:26:38.000Z","52094","4222","24","0","67","https://www.youtube.com/watch?v=403kLxohdi0"
"34","451xV-wSEEk","【新聞94強】清算軍人歷史「這個國家」把軍人當仇人？","2019-01-22T04:00:37.000Z","4788","471","1","0","21","https://www.youtube.com/watch?v=451xV-wSEEk"
"35","4hVCEr2r_II","張善政，狼人殺卡發表！晚上八點「天黑請閉眼」直播","2019-12-10T02:33:07.000Z","33118","3532","13","0","57","https://www.youtube.com/watch?v=4hVCEr2r_II"
"36","4izu94OYnLA","當到發炎的發言人，到底要做什麼？","2019-12-06T15:14:08.000Z","13018","1477","3","0","39","https://www.youtube.com/watch?v=4izu94OYnLA"
"37","4M7AjyoHuOo","黃國昌起床了，高志鵬被外役監了你怎麼變啞巴？","2019-06-19T08:30:00.000Z","7080","408","23","0","55","https://www.youtube.com/watch?v=4M7AjyoHuOo"
"38","4Ng9nm9MJuo","韓國瑜的學貸免息套利，蔡英文的學貸免息就不套利？ #第222場在文山二分局（羅斯福/景中街口）","2019-11-05T00:46:43.000Z","3821","860","6","0","44","https://www.youtube.com/watch?v=4Ng9nm9MJuo"
"39","4SE58JXVfVg","預告：上午10點15分，頂著國旗挺柱姐直播。羅智強髮雕國旗和洪秀柱一起守護中華民國","2019-12-29T23:08:16.000Z","13260","1669","5","0","178","https://www.youtube.com/watch?v=4SE58JXVfVg"
