"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","084LwX_Y1X4","魏如萱 maa wei「milk and honey」孕期限定演唱會 [ 三個字 Close Friends ] Official Live Video","2019-01-02T12:29:33.000Z","37124","579","12","0","10","https://www.youtube.com/watch?v=084LwX_Y1X4"
"2","0PK46oc2CWI","魏如萱 waa wei [ 世界末日的某個角落 A Corner of World's End ] Official Music Video","2019-10-10T07:57:52.000Z","33768","627","4","0","26","https://www.youtube.com/watch?v=0PK46oc2CWI"
"3","1-Y0MMkRl1g","Crispy脆樂團 [ 虛線 Will You Follow Me ] 一鏡到底 Official Music Video","2019-09-30T04:00:12.000Z","136355","849","16","0","47","https://www.youtube.com/watch?v=1-Y0MMkRl1g"
"4","1oy5UGW0mLs","好多音樂校園演唱會 11/21政大 11/30中央","2017-11-14T08:27:34.000Z","377","2","0","0","0","https://www.youtube.com/watch?v=1oy5UGW0mLs"
"5","2gs9X_kybXQ","柯智棠 Kowen [ 無關拯救的事 Need No Salvation ] Official Music Video","2018-07-18T04:02:45.000Z","844493","5963","51","0","92","https://www.youtube.com/watch?v=2gs9X_kybXQ"
"6","2wXY8PWH69I","許含光 Lumi [ 25 ] Official Music Video","2019-06-10T15:59:14.000Z","120220","1789","7","0","58","https://www.youtube.com/watch?v=2wXY8PWH69I"
"7","3n4yeQ-isb8","Crispy脆樂團 [ Deja Vu ] MV花絮","2019-08-26T09:47:40.000Z","1071","34","0","0","5","https://www.youtube.com/watch?v=3n4yeQ-isb8"
"8","7H52yGup84A","Crispy脆樂團 [ 轉圈圈 In Circles ] Official Music Video","2019-12-30T11:57:31.000Z","129074","4441","50","0","327","https://www.youtube.com/watch?v=7H52yGup84A"
"9","86wypSCXK9M","魏如萱 waa wei [ 彼個所在 Heaven ] Official Music Video","2019-12-16T12:45:01.000Z","1006664","12316","71","0","494","https://www.youtube.com/watch?v=86wypSCXK9M"
"10","8lJXvjjcY74","柯智棠 Kowen [ 懶散與害怕 The Fear and The Laziness ] Official Music Video","2018-12-01T12:57:25.000Z","56017","785","9","0","17","https://www.youtube.com/watch?v=8lJXvjjcY74"
"11","9m11WVge8s8","魏如萱 waa wei [ 曬傷 Sunburn ] Official Music Video（種菜女神 片頭曲）","2018-12-06T12:58:44.000Z","212862","1905","19","0","26","https://www.youtube.com/watch?v=9m11WVge8s8"
"12","bEMK1X_4P4E","魏如萱 waa wei [ 竊笑 Stolen Smile ] Official Music Video","2019-11-21T12:37:09.000Z","188908","2399","7","0","50","https://www.youtube.com/watch?v=bEMK1X_4P4E"
"13","bIiMDXiI9aU","柯智棠 Kowen [ 遠走 Far and Gone ] Official Music Video（種菜女神 片尾曲）","2018-12-24T12:36:44.000Z","925346","4742","53","0","49","https://www.youtube.com/watch?v=bIiMDXiI9aU"
"14","CgO5beYLEyw","魏如萱 waa wei 藏著並不等於遺忘 台中Legacy Highlight","2019-12-24T06:39:34.000Z","5234","213","0","0","13","https://www.youtube.com/watch?v=CgO5beYLEyw"
"15","cIIts-jZVJY","魏如萱 waa wei [ 既然不再假裝自己不是多愁善感的詩人 ] Official Music Video","2019-11-21T12:37:36.000Z","60268","1026","3","0","47","https://www.youtube.com/watch?v=cIIts-jZVJY"
"16","DVUAd1OTflE","Crispy脆樂團 [ 若無其事 Your Brave Face ] Official Music Video（種菜女神 插曲）","2018-12-19T11:59:21.000Z","1050514","4985","67","0","92","https://www.youtube.com/watch?v=DVUAd1OTflE"
"17","eNPOvECGd6I","魏如萱 maa wei「milk and honey」孕期限定演唱會 [ 一刀兩刃 Sword with Two Blades ] Official Live Video","2018-11-14T13:02:57.000Z","12689","452","4","0","16","https://www.youtube.com/watch?v=eNPOvECGd6I"
"18","eq0NQoLHJQA","蘇珮卿 Paige Su《中途迷失 Solo小巡演》演出花絮","2018-11-14T13:13:08.000Z","501","7","0","0","0","https://www.youtube.com/watch?v=eq0NQoLHJQA"
"19","EtJxt-wWjkg","蘇珮卿 Paige Su [ 無聲交響曲 Silent Symphony ] Live Looping Session","2018-10-23T13:59:15.000Z","862","15","3","0","0","https://www.youtube.com/watch?v=EtJxt-wWjkg"
"20","eUt8RCnWMXY","Crispy脆樂團 [ 宇宙的角落 Corner of the Universe ] Official Music Video","2019-09-12T11:58:25.000Z","526926","2145","18","0","61","https://www.youtube.com/watch?v=eUt8RCnWMXY"
"21","f8Q7Ngr3JJc","魏如萱 waa wei [ 女人經痛時 I'm Menstruating ] Official Music Video","2019-08-07T10:31:29.000Z","1150","28","0","0","2","https://www.youtube.com/watch?v=f8Q7Ngr3JJc"
"22","FsLLyy3HDL8","魏如萱 waa wei [ 兒歌 A Song For My Son ] Official Music Video","2019-11-21T12:36:07.000Z","37694","370","1","0","19","https://www.youtube.com/watch?v=FsLLyy3HDL8"
"23","G_yx3pdpOLw","Crispy脆樂團 [ 宇宙的角落 ] MV前導 Teaser","2019-09-11T12:06:32.000Z","2461","47","1","0","3","https://www.youtube.com/watch?v=G_yx3pdpOLw"
"24","gSr8JVYxfag","魏如萱 maa wei「milk and honey」孕期限定演唱會 [ 吼喲 Roarrrr ] Official Live Video","2018-11-30T13:08:46.000Z","8915","232","3","0","18","https://www.youtube.com/watch?v=gSr8JVYxfag"
"25","guo45mcuryo","魏如萱 waa wei [ 一起去旅行 Let's Go Travelling ] Official Music Video","2019-10-10T07:58:42.000Z","34463","693","7","0","25","https://www.youtube.com/watch?v=guo45mcuryo"
"26","hK5EGEZX-7Y","魏如萱 waa wei [ 恐慌症 Panic Attack ] Official Music Video","2019-11-12T04:01:35.000Z","469303","3086","31","0","136","https://www.youtube.com/watch?v=hK5EGEZX-7Y"
"27","i7syPKahNfs","Crispy脆樂團 [ Deja Vu ] feat. 熊仔 Official Music Video","2019-08-20T11:57:55.000Z","511201","3399","81","0","184","https://www.youtube.com/watch?v=i7syPKahNfs"
"28","J2VUBQ1l8SU","魏如萱 waa wei [ Ophelia ] Official Music Video","2019-11-27T03:45:00.000Z","843593","13632","60","0","473","https://www.youtube.com/watch?v=J2VUBQ1l8SU"
"29","jaw1lD1_Bhs","柯智棠 Kowen [ 陽光燦爛 And the Sun Shines 深夜頂樓版 ] Official Live Video","2019-05-22T14:08:12.000Z","205752","1343","8","0","24","https://www.youtube.com/watch?v=jaw1lD1_Bhs"
"30","JmOw71VSnxY","2017 蘇珮卿 Paige Su 專場 巡迴回顧","2018-07-12T10:57:46.000Z","299","4","0","0","0","https://www.youtube.com/watch?v=JmOw71VSnxY"
"31","KrUyNuR4fDA","魏如萱 maa wei「milk and honey」孕期限定演唱會 live 2CD 現正預購中","2018-10-12T07:55:48.000Z","1593","27","0","0","1","https://www.youtube.com/watch?v=KrUyNuR4fDA"
"32","LWWQ7795J58","柯智棠 Kowen「吟遊」巡迴搶聽會 精彩片段","2018-08-12T16:37:32.000Z","2254","41","2","0","1","https://www.youtube.com/watch?v=LWWQ7795J58"
"33","mu8fCO9INAI","魏如萱 waa wei [ 陪著你 Be There for You ] Official Music Video 《用九柑仔店》插曲","2019-11-21T12:36:24.000Z","323848","4159","15","0","78","https://www.youtube.com/watch?v=mu8fCO9INAI"
"34","n_4Rwwc3nxw","魏如萱 [ Ophelia ] MV花絮","2019-12-02T03:45:00.000Z","67920","2163","8","0","74","https://www.youtube.com/watch?v=n_4Rwwc3nxw"
"35","NJWRlHLAmv0","柯智棠 Kowen [ You Are ] Official Lyric Video","2018-06-11T06:41:15.000Z","461605","5101","35","0","82","https://www.youtube.com/watch?v=NJWRlHLAmv0"
"36","OOcfDcAZN9g","柯智棠「吟遊」TICC 個人演唱會 7/5 正式開賣","2018-07-03T05:32:33.000Z","1184","23","0","0","0","https://www.youtube.com/watch?v=OOcfDcAZN9g"
"37","OY4BFqbRNvg","許含光第二輪分享會起跑預備備～今年夏天一定要參加的〖齒與骨〗新書分享會！精彩內容回顧！","2019-08-14T10:21:19.000Z","531","28","1","0","1","https://www.youtube.com/watch?v=OY4BFqbRNvg"
