"","video_id","comments_count","reply_rate"
"1","_8NDEh5VZ4g",0,NA
"2","_ZaU8tBD7Rc",11,0
"3","-fbb0GPOjaM",3,0
"4","-rcpXO67mis",4,0
"5","-xLwmGagxIQ",4,0
"6","0OJlbDcspDc",0,NA
"7","0t7T0w_qFgo",0,NA
"8","1bMmUpHeJ_o",9,0
"9","26VpjMksdeM",0,NA
"10","2B8YwIwtbQI",2,0
"11","2GHp_PWNPPE",0,NA
"12","2KcMUtNE5xU",0,NA
"13","2L0e3vFkO1w",0,NA
"14","2sxSERemsA4",162,0
"15","33TzLN0_lBM",0,NA
"16","3ascKlATpvc",0,NA
"17","3B1ORbjoeQE",0,NA
"18","40jr41Y6iRQ",7,0
"19","4PuG4DxJLAM",3,0
"20","5NgYppIkHrk",1,0
"21","62GvR_gUgt4",0,NA
"22","6FLIJaX_RHQ",4,0
"23","6MGuhwSRaqY",0,NA
"24","6oY1LxmY1Iw",48,0
"25","7CP0uNLEJJw",0,NA
"26","7d9smTjBnyw",0,NA
"27","7UNfeIkHk20",0,NA
"28","8_xUibf8WG8",4,0
"29","96r9-oow3Xw",1,0
"30","9bbXFBonn2w",0,NA
"31","9du3yeZf2yM",0,NA
"32","9Fq2qCiUtQ0",2,0
"33","9Hz4-PhtmI0",1,0
"34","9REpE0VmEOc",1,0
"35","9tuypJAyztQ",0,NA
"36","9uiZN1c1dI4",0,NA
"37","9x1s-2YJHKM",0,NA
"38","a-EaUXpcs9U",1,0
"39","A6h1X9aMoXY",0,NA
"40","A9n1nd6RMk0",0,NA
"41","adWVKuI60fY",0,NA
"42","AFfKtEBF_gI",9,0
"43","aFMXcpf0VvQ",211,0
"44","aKolfBcxbTA",2,0
"45","AUVGIcF3e74",3,0
"46","B3f_UdNeXLs",0,NA
"47","B4H5hTpQ7kU",0,NA
"48","b9iPpDIm4Io",6,0
"49","B9oFptVQtcU",0,NA
"50","BdJySPF4c_I",0,NA
"51","bF1qecuHA8U",1,0
"52","bOGikr01r2w",0,NA
"53","Bx_XoQ6cmAY",4,0
"54","cinnTOUIZ20",0,NA
"55","CR_IDMrFQ4g",0,NA
"56","Cu3Eg_38ZMc",0,NA
"57","cVarhDZWm7g",33,0
"58","DroGjVLeDK4",1,0
"59","E5WxgUtANKE",2,0
"60","egrwru5qIDo",4,0
"61","eIrvnwlTZDA",0,NA
"62","eSnoPehuZCk",0,NA
"63","FNT_XTdGGpM",0,NA
"64","FrLWIahbxmw",0,NA
"65","FUgrOCnpSj0",1,0
"66","Gcs7w8D6rfo",0,NA
"67","GK_rhvWwSNM",2,0
"68","Gk3ZtvFWOX0",1,0
"69","gkg0yh-OPc4",7,0
"70","GXBWMmyTHmc",0,NA
"71","gxfBcBW1FEE",1,0
"72","h0IEFOZvmNY",0,NA
"73","H2mg0RfzMKA",12,0
"74","hBy1qXdPKzM",1,0
"75","Hf65j3LcNw4",8,0
"76","HM2B_j_wzVI",1,0
"77","hO3EMWoUSOE",10,0
"78","hQTKX1SEdng",0,NA
"79","HVgn2AZ8Aj4",1,0
"80","I_I52UPmoS4",23,0
"81","i3RkTX1xBvw",0,NA
"82","IEQfErMo9h8",11,0
"83","ikD5QofQagM",36,0
"84","IOjpWdu2UV0",3,0
"85","jc4fnDAvFTI",0,NA
"86","jj0gTb8F8fY",81,0
"87","jW1riH8yZDk",0,NA
"88","JwHZtAqSVj8",3,0
"89","K-5gINWOcFs",0,NA
"90","kcPoBPp1YHs",2,0
"91","kHIGPMjNZls",0,NA
"92","KIXZp2bjV3s",5,0
"93","klzLU9r-clU",0,NA
"94","kR7eXq9Fq00",0,NA
"95","kRcaKK6fmLs",2,0
"96","KwKduEaloDI",2,0
"97","kZCVz9uKd9Q",0,NA
"98","L0154buNPHs",8,0
"99","L06KPt3tv0E",6,0
"100","l54GUD32w3A",1,0
"101","l8xn_yVDaXI",2,0
"102","Lf_XJMRz7HI",47,0
"103","LkzA6A_EZpc",12,0
"104","LMkx5z7GrL0",6,0
"105","Lpp1QiCYZVc",0,NA
"106","LtkUmpDEwXc",3,0
"107","lWDu7m5up2k",0,NA
"108","m4E0ToMkBI4",0,NA
"109","MIVxzibrbpQ",1,0
"110","mLGf_nWYnAU",5,0
"111","MN29XRGvJnY",8,0
"112","Mp10DKx9qak",0,NA
"113","ngHAHZIDck4",0,NA
"114","NZfqYxO3t1w",19,0
"115","oBoRcIZDz6M",2,0
"116","OVWqq-Xaycc",0,NA
"117","oZx-lUC8phU",16,0
