"","video_id","comments_count","reply_rate"
"1","-9hU03RK74U",0,NA
"2","-cNMjoy0teM",0,NA
"3","1yBCH3lS6IM",6,0
"4","33ic9z2hfEg",7,0
"5","4GS9IlfKpxM",0,NA
"6","5OM9Zwb7Wb4",3,0
"7","5TUuh5DYN0g",0,NA
"8","5WuoPIMIbQY",1,0
"9","6oTCv1-nAsM",0,NA
"10","7BkQa9Nanyo",0,NA
"11","7Uc2QGT9iL0",47,0
"12","8zwRd0QhPus",19,0
"13","9KeAhgqtI_s",0,NA
"14","9o_2F9tUTZE",1,0
"15","9o0NlkK4luo",223,0
"16","9QYhZ7cClks",5,0
"17","9svq2oBR7dA",14,0
"18","aBPpKC99jiI",1,0
"19","ADDb_qjFWws",1,0
"20","AF5vT46_AzI",0,NA
"21","aky5NwXXq7k",4,0
"22","alEm3j6Lgl4",6,0
"23","aQWhXe83-Kk",1,0
"24","aUVjH_eImVI",0,NA
"25","B-qc0qlxYr4",2,0
"26","BJrJHfojLQ8",1,0
"27","bRKNhW3zrK0",0,NA
"28","bZ7REMbtzzo",2,0
"29","c3lFa8jXNTY",3,0
"30","Chl8XvunSyA",2,0
"31","CMzb_5m5kAU",121,0
"32","CO8yarGJjQo",1,0
"33","cyLv1pTKD0M",85,0
"34","dFrPiAUshKA",5,0
"35","DhZTbzznFM4",2,0
"36","drO5ExgZEW4",0,NA
"37","dUvkGZX8ucQ",0,NA
"38","dWZoQ1qtR7s",2,0
"39","e1z7k6WNHtw",161,0
"40","EbqilE5elMo",0,NA
"41","eEpE_Xmgoyk",0,NA
"42","eNXhzd_ul4s",0,NA
"43","eZ_qJwrEjgw",0,NA
"44","feuHSfluWK4",628,0
"45","FYk-1S05IVU",0,NA
"46","gvKSJ6UyXeA",0,NA
"47","H5YZLu7XV38",0,NA
"48","hBI8gyfz8Jo",3,0
"49","hCoD9ohXhwQ",6,0
"50","Hlec7fOdcVc",0,NA
"51","HnaMMh1Oyc4",0,NA
"52","HQSAlNmSa9o",1,0
"53","hscKUHAajXM",3,0
"54","hVeKuF7RXzQ",0,NA
"55","HZOByxaQsr8",0,NA
"56","i6v1i_riGoU",43,0
"57","iTkOo1LY9aQ",1,0
"58","jEC_eEloWZs",0,NA
"59","jON_Xcyhhz0",0,NA
"60","jTHwTdn1L9s",0,NA
"61","jVJuxgernNY",0,NA
"62","K0MlNPjqDXQ",0,NA
"63","kakoDC7E1uc",77,0
"64","KIbyqnX-j8I",0,NA
"65","ktQeI2KtmyQ",2,0
"66","l_VkIc4PTso",0,NA
"67","lFiNQJIsmxI",130,0
"68","lkCSZVUdR-I",1,0
"69","LLHuUbHG4Bs",2,0
"70","lvLxQOmBu5g",0,NA
"71","M7MLCmErEDk",2,0
"72","Mb9GMzBN404",20,0
"73","me2t9AJwwvY",1,0
"74","mMfO7xvomuA",0,NA
"75","MX1PG67bhaM",4,0
"76","ngveXoyMuvU",2,0
"77","oOUd1bR9O-M",3,0
"78","oYulShdfiw8",0,NA
"79","p5CZ2EvUYVg",0,NA
"80","pFtlrJBGEAg",0,NA
"81","pOOs4EOfVXg",28,0
"82","ppxG0p9gVK4",2,0
"83","PS7nfAKT_ZE",0,NA
"84","Qg4dMW2I-Mk",1,0
"85","Qjm_i5ykMrU",0,NA
"86","qtJ9ZLePtMw",0,NA
"87","qWAZKqz6ujw",2,0
"88","Qzc1yCFVB_w",0,NA
"89","rfS6F0588_U",0,NA
"90","RZ2eM3cX4T8",0,NA
"91","SkMGqpUZcSE",0,NA
"92","sp7LodAV9G4",0,NA
"93","SYONU_fATPs",1,0
"94","tAWGoe7E9Ic",0,NA
"95","tScN-9hdFQs",4,0
"96","UnFuusCT2cs",8,0
"97","UtEajrkc1ZQ",0,NA
"98","UX50_pCfwUA",0,NA
"99","V1Jk6OhdWvg",2,0
"100","VCVCIKDJKCU",0,NA
"101","vDb6lYcPA6o",0,NA
"102","vGKl2hDwBUE",1,0
"103","vhC5IMKOrl4",38,0
"104","voXXVCawhO8",0,NA
"105","WfzL_rs3eVI",0,NA
"106","WMPddUWZ2xg",4,0
"107","WP4MZMvNvFQ",22,0
"108","wpTcnPTbgcw",0,NA
"109","x7-pF6fBte0",507,0
"110","ylaAuU_QG6M",0,NA
"111","zDtyIScdVh8",0,NA
"112","ZWeGuNTgpyY",3,0
