"","video_id","comments_count","reply_rate"
"1","_4xtPnIpHA0",795,0
"2","-2ljrQocfjQ",5,0
"3","1fP7pd_KZ_s",7,0
"4","1Z2NSb2AuGQ",20,0
"5","3ffWxvjMSy0",13,0
"6","3p8RJ2DMpzk",24,0
"7","5vG2g_zLxhg",148,0
"8","8JV4rtR6u-k",7,0
"9","AnG4KFsUzt4",33,0
"10","apC_0mh1eDY",8,0
"11","awp03aSTsQ0",23,0
"12","bIvx1uNU1dU",30,0
"13","c-B1eN3raS4",36,0
"14","cF7S2Z5DNGU",34,0
"15","Cj3OeXE7wYI",8,0
"16","cOSvxVC00NM",59,0
"17","CyLMzMamsvQ",39,0
"18","D2C_3ZO72pA",33,0
"19","ehmsjLlxMT4",106,0
"20","Ey-AR0-4s1Q",772,0
"21","g2NIyGBZl30",39,0
"22","geIu85D1z24",10,0
"23","GJO0jJ6SR0Y",63,0
"24","H7InLv1jIiw",29,0
"25","hAENPud2UA0",39,0
"26","Hn8qJqDvStU",24,0
"27","INRGbQQ-uPA",34,0
"28","ipDtu22dX2I",20,0
"29","IUlDOrtuuGQ",1529,0
"30","ixjRAYHwsx8",18,0
"31","jiOjD911RQk",329,0
"32","JMe7xH0gS4c",23,0
"33","Kus6o-Oe03Q",30,0
"34","kzfJ1tSgA8A",42,0
"35","M9JKZq2xhtc",75,0
"36","mF0kIUmJgUU",22,0
"37","MhXYg_QLz9Q",44,0
"38","mvqCSuf5RZM",18,0
"39","NohuMjdFiSM",25,0
"40","nw_lgM013hk",62,0
"41","OmuXeXvA31w",561,0
"42","oq5LbzO68ps",74,0
"43","QLSRzQJxnxU",72,0
"44","R7h8UDpNxUA",60,0
"45","rC9oD42kBLg",35,0
"46","saVTKmhjmas",47,0
"47","SD4wuE1gmxU",19,0
"48","SEi0aedBixk",251,0
"49","tqU7NZ5O__Y",23,0
"50","tS5-3FGdp9s",10,0
"51","UfT4EmJ1VzI",8,0
"52","ujZ6_cXHia8",27,0
"53","UmGrarOUNtw",32,0
"54","w1cOv7ttxns",30,0
"55","Y5bt9fwJjkE",9,0
"56","yMQkQAgWz8E",40,0
"57","ywFFMuzDTo0",20,0
"58","Z8TfndJZuxQ",63,0
