"","video_id","comments_count","reply_rate"
"1","_9ZI5FxPpTM",1,0
"2","_cXeg4SHvCQ",0,NA
"3","_HkBOELdZik",6,0
"4","_IHTSPv86F0",3,0
"5","_zD8o2TcuK4",2,0
"6","_zY1snaKo-c",2,0
"7","-SqPtGSgQ_g",6,0
"8","1FrhDks1Xtc",40,0
"9","1TJRPlh6d4g",3,0
"10","2bx0MyLNeG4",NA,NA
"11","2gLkr9argfo",1,0
"12","2M6HtZnoiiM",0,NA
"13","3MGhFkC_cR4",2,0
"14","3ONYjikCorw",0,NA
"15","3wAf4vcMGIs",0,NA
"16","4kCqE7nNI5o",5,0
"17","6BjyBAcW6Gs",1,0
"18","9qf82k7mNFI",1,0
"19","9xgc1KT3HXU",0,NA
"20","aaAc5yA16nc",0,NA
"21","AfbcdvpEcow",1,0
"22","AX2KMPthMvg",0,NA
"23","Bhaps_SDGAE",0,NA
"24","C_xvH6f40m8",4,0
"25","CB6KFxEoI5g",75,0
"26","ck_YqXj1brg",13,0
"27","CL2EL0jJlZQ",1,0
"28","cMICf8nDqiE",0,NA
"29","ctFrXviQ7yU",0,NA
"30","cUSQ3Gm-QMQ",73,0
"31","DjC5NC6Etuk",7,0
"32","DK9RHsIqLD8",1,0
"33","dl-N4smbIaY",2,0
"34","dmWowJNMPpg",4,0
"35","DuVfb8CNBvM",0,NA
"36","e4VizWYs_0Y",20,0
"37","E7H1dtheveg",0,NA
"38","E8yXGYSpQfQ",0,NA
"39","EFJz8DJzau4",4,0
"40","eGVhw6K0YAc",0,NA
"41","eHQp7uSnWwo",0,NA
"42","en8iqC8bBVw",0,NA
"43","eQjBzJXQRtQ",1,0
"44","f2o9AbgC-00",5,0
"45","FADL2eBMSCA",NA,NA
"46","fC5GwTnnbD8",1,0
"47","fChFM5FbBeM",9,0
"48","fglTm_vHKfU",0,NA
"49","FIROK_XtEG0",4,0
"50","fv7du_Mo98k",1,0
"51","FY89faCXMVM",1,0
"52","G2msFQvGB5I",14,0
"53","GA7CJF9agz8",0,NA
"54","GwdtN4O35Is",0,NA
"55","hBDY3jHvVfE",0,NA
"56","HCwUiBd27yw",3,0
"57","Hgx0x8PwJ5U",1223,0
"58","hNMLHbAQydg",NA,NA
"59","HQpbDC9bVHQ",3,0
"60","i1EUbeFybFQ",1,0
"61","jMJOstCX3_c",205,0
"62","jYrnHYpzaBE",13,0
"63","K-mFfJQylBY",3,0
"64","k9eKGOWcFio",0,NA
"65","KDMmhQabTC4",4,0
"66","kFiYkEf-uO8",0,NA
"67","kopk8qbcppM",4,0
"68","kpAMzjQxWRI",1,0
"69","L2oPmLXyH5E",10,0
"70","LlOm-zLEKXk",0,NA
"71","MgDBzHxGMN0",4,0
"72","mvE4GCvM0Ws",2,0
"73","no52pm0fOXs",1,0
"74","Np-B-OmzdLI",3,0
"75","NXTe_9Vz0bA",4,0
"76","PkH-MAqMCeU",94,0
"77","qfAHWpUkXlw",0,NA
"78","qKqucF_Dmyc",12,0
"79","QMehitjAS9o",1,0
"80","r-_EY1jIvpw",835,0
"81","RAO4bFWjD10",NA,NA
"82","rfKUaoXLKnw",5,0
"83","RN3U-Stm_6A",8,0
"84","rqRBENNhpqc",0,NA
"85","rXEpkPqChzU",6,0
"86","ryPF8e9cNWw",0,NA
"87","SbkL4eU8BSU",1,0
"88","SEN2cjyKBYc",1,0
"89","T04zob5FAXM",0,NA
"90","tRsfezHU_V8",4,0
"91","TvNExzPOea0",9,0
"92","TyVsF9t5wUk",1,0
"93","UzrGmBf9Pjg",0,NA
"94","V4O48797umk",2,0
"95","VakbNGtOG2w",0,NA
"96","vddI1MRNpdw",0,NA
"97","vqTjkZPwDc4",1,0
"98","vVkzNhUvnZk",1,0
"99","vwb12K-hdP0",1,0
"100","W0jcPFi4g80",2,0
"101","w4ljIpCYp5w",48,0
"102","W9KZ_MoHu8Q",1,0
"103","wiu9ZOVOHqs",37,0
"104","wKR508AgpFo",2,0
"105","WzqxagMZPrU",0,NA
"106","X-UOjQm8cxg",7,0
"107","X3uxXsy0gdA",2,0
"108","x9Lqqby2Dr4",2,0
"109","XAs3umUZnRc",0,NA
"110","xEUZlPEvWbg",0,NA
"111","XoNYTTxTYo0",0,NA
"112","XplfUN0pJmI",2,0
"113","XQo-IQFrmLU",5,0
"114","xVPDDMZfyS8",NA,NA
"115","yIM0mQiGbKI",3,0
"116","ynGqmzDCGtY",3,0
"117","yUEMdD1y2l8",2,0
"118","YuJmLKtlKrc",0,NA
"119","ZAdxsae8BDM",NA,NA
"120","zMp5mnolpRA",0,NA
"121","zySlAupv428",0,NA
