"","video_id","comments_count","reply_rate"
"1","_3hQnHi5OEk",2480,0
"2","-6k4001PWG8",232,0
"3","-NsLpksuQaA",34,0
"4","-RWVoUb6Tpw",10,0
"5","-zXFE3v_wMs",1054,0
"6","0grXSkUAvLY",536,0
"7","0hFcW2QQSiw",196,0
"8","1EVgb7bB--4",130,0
"9","1J8eg3SMRtg",570,0
"10","2XM5LwcUYfM",587,0
"11","3uYwIwFhBiM",385,0
"12","4aEiKyYFS08",201,0
"13","4B3hr9TyCxQ",115,0
"14","56XlInXYl44",43,0
"15","5dxqfTRwzbA",33,0
"16","5eSt2HTenqA",137,0
"17","5K7cxGubSE0",446,0
"18","5Kin728QS_k",66,0
"19","6Bdl5VhAxhk",2159,0
"20","6UAlwdP0UHc",20,0
"21","6vg9zfhpJ6c",537,0
"22","6W4piEuhE98",469,0
"23","7_F_AfnOYDk",58,0
"24","728eI9yantE",22,0
"25","7IM8zTQZblU",331,0
"26","8lcykYzgxts",8,0
"27","95pektN4xf4",1893,0
"28","9R5N5s0gjio",34,0
"29","AkAip3ieOi0",228,0
"30","atP4msdUINU",175,0
"31","axnH1r3ffsk",364,0
"32","bbar2ZkIaA4",11,0
"33","bfjdP14kfq4",163,0
"34","buymrBdWpFI",307,0
"35","bw-elkEtL_g",207,0
"36","bwYXsEp7LIo",517,0
"37","cBR8C6LOtS8",118,0
"38","cdFp7IvgwlI",7,0
"39","CdjxSrhwg4I",1764,0
"40","cjNW0iG-O_U",129,0
"41","cYf81dTEdpk",441,0
"42","CYl6G4r7ia0",3275,0
"43","CZbkWuDAdHw",118,0
"44","domN7f-SKpQ",11,0
"45","EC-j0RSTnaM",1313,0
"46","EJ3PDXzsX-0",29,0
"47","Eoe9iuREudI",273,0
"48","EP2EMPX1fuU",194,0
"49","eQd9MG8I-Qw",178,0
"50","eQQRU7YUdjU",221,0
"51","EsZbTTj2FUw",535,0
"52","eu2bujMssgA",808,0
"53","evU2j2Y6ET4",111,0
"54","fbki11Qv5RM",28,0
"55","fEHEOGDzg_o",302,0
"56","fmSAUWwM2DM",29,0
"57","fqge_eJ6ui8",24,0
"58","fsbeBDzbmbo",26,0
"59","G_Z0QnfcAnU",224,0
"60","ga_qUK2T6fM",938,0
"61","GEcmRbIEIaA",74,0
"62","GF8DfxThqsU",268,0
"63","ghTORkYzSg4",125,0
"64","GmBWrRiz3nE",268,0
"65","Go7J8zhcQbw",255,0
"66","Gtvuz_v1Qp8",63,0
"67","h5ZOd47IH9c",155,0
"68","hBGyhn-QPaM",62,0
"69","hC9pbsZL0H8",160,0
"70","HcxML0UkmAU",79,0
"71","HCzNANOXv_Y",55,0
"72","hIm1qx7Wotk",173,0
"73","hPJsCoKD0rY",236,0
"74","hyPN1VNtIAc",24,0
"75","ipRDTpt8znY",12,0
"76","j3lMr-U1u80",103,0
"77","JAT89Au61g0",888,0
"78","JlLUCA91Ia0",43,0
"79","JOLa72n86wk",149,0
"80","jorXb6AHpbU",219,0
"81","JW6YybW-nFY",258,0
"82","jxEs2XNq4IE",1272,0
"83","K0CBlsB2tFw",389,0
"84","khpPP4p8AmI",157,0
"85","Lpouo-ppmpo",54,0
"86","LsSx2j-XC7Y",33,0
"87","LYfIrcJszpo",252,0
"88","lYi7ix3y6z4",114,0
"89","mCzbIA2cHHI",327,0
"90","MhhcGr-zAUE",43,0
"91","mnB4o9pRJqs",40,0
"92","mp-SAxV6wBY",586,0
"93","Mp4XiPejuSg",481,0
"94","MuCt_EMcpic",56,0
"95","n2C85BKi7Us",16,0
"96","N5QH1wfoFvw",223,0
"97","n7onFpgxrJc",13,0
"98","NOn40TddLIw",636,0
"99","nsJhNuaLBsI",210,0
"100","Nz1hAjwajpE",6818,0
"101","NZXqbQ6w_zg",214,0
"102","o_9VwtX8XzU",46,0
"103","o_gusbQMGbE",35,0
"104","o2V-QtaDMdw",386,0
"105","O5MpPdGvab0",40,0
"106","oDQ6rbtO30k",251,0
"107","OgK0_7LPWNg",1096,0
"108","OkeX5GBXQIg",370,0
"109","oKm0FXaF6sY",55,0
"110","OXsS7HNN0O4",526,0
"111","OzgC7S2tW0w",116,0
"112","PBkAZJa_zkg",348,0
"113","PBnrFAeXtGA",79,0
"114","PjfDma86l7s",27,0
"115","PRvdOG9RsrE",55,0
"116","pTYi324WI1I",674,0
"117","PUY6bsIYYGY",194,0
"118","PXpSrjQ2c4o",10,0
"119","PXR5Rd0GI0s",249,0
"120","q7ZnYR036bo",88,0
"121","qcRPuO39xHw",213,0
"122","qFk0Yri63ag",505,0
"123","Qgm379E7n8M",95,0
"124","qHCqDJB9NKs",324,0
"125","qkAhAFKpKK8",168,0
"126","QkDoLRTzpEQ",464,0
"127","qLySiFNScTw",19,0
"128","Qpd-m5YF-R8",295,0
"129","QpPLMPfEO3I",4438,0
"130","Qtq040qENt4",2257,0
"131","Qu_HGKYmpOs",41,0
"132","qVaWhsLy624",38,0
"133","QzIUcqyDq-4",583,0
"134","RMk2stt_hsU",2416,0
"135","Ro7pVv87NXk",73,0
"136","RoeDrU52xZU",56,0
"137","rv3vBbErXnY",130,0
"138","sfGmbcEskwE",400,0
"139","SjGIkrdzGKk",161,0
"140","SO_uTRg-7pw",366,0
"141","SpUO9E2yd8M",810,0
"142","srjMBFI0U9E",43,0
"143","sSIACsrYQt8",188,0
"144","SvkAiygk1E4",117,0
"145","SVyTsVtoHiU",878,0
"146","SwuqPQhkDs4",330,0
"147","t83Qjx0JLtU",1132,0
"148","TAJUOJB52Gs",20,0
"149","TtXbGKK9vSs",413,0
"150","U-ziys5GAN0",154,0
"151","Uc3x2nDxQRQ",474,0
"152","UfeEIlDkLQQ",321,0
"153","UHtNi5kP24w",11,0
"154","uHwKjmQutvY",212,0
"155","uQwAexhAX3w",21,0
"156","uVysQjFKFgM",20,0
"157","vic-EMOivpA",374,0
"158","Vl8ySpAZHso",52,0
"159","vSl5wahhhck",29,0
"160","Vx258g9fHj8",182,0
"161","wEcCSvtrYnQ",575,0
"162","wKv4-xMFT7M",193,0
"163","WnP6pfOjt3Y",382,0
"164","WqweBZ3j8i0",2198,0
"165","WTtl5xW1W_I",256,0
"166","X80pWKKMhgg",346,0
"167","xA-BxSKV0aU",2049,0
"168","xdwsToXVtG8",152,0
"169","XJGJ60tJ95c",186,0
"170","xKH6vGGisow",53,0
"171","XoTlsawXFz8",89,0
"172","xP2ldqrtN7U",151,0
"173","xSlfsGWXikw",133,0
"174","xu-gej6LvhE",218,0
"175","YAEpUdgoQ7A",155,0
"176","yblHqx8-lCw",2819,0
"177","YJI6xkuFwRM",29,0
"178","yQbyWUFTv2k",17,0
"179","YTVoE6blWlY",1217,0
"180","YU72pAW--jU",601,0
"181","yV1Xan_Sl08",1677,0
"182","yVA_ePvuBro",172,0
"183","YZGRO8LJUuc",61,0
"184","zC51MitM3QI",1351,0
"185","zeBTiO8mF1Y",12,0
"186","zEX07KAjFcY",466,0
"187","zIryET58ebI",177,0
"188","ZolNjbYgEwk",12,0
