"","video_id","comments_count","reply_rate"
"1","_1t4R9BzTrU",213,0
"2","_99ghxAEfiM",243,0
"3","_ax2Vp77hA0",45,0
"4","0OJySZ-2F9U",129,0
"5","0vb_VztKXxU",39,0
"6","1mG5aD1Uvrc",90,0
"7","1RUsY9xGDRA",296,0
"8","41Rwud9NqQA",1,0
"9","6j3RzTDo6oY",265,0
"10","9dZnaIio-w4",93,0
"11","Aq0YWO1SLOQ",51,0
"12","AwndNqjMlIk",469,0
"13","BgKPHzugB7M",43,0
"14","BiDiM57G0c8",122,0
"15","bWjNMO5BJK0",44,0
"16","D3OgjYOF3oo",37,0
"17","djt1B8iggrI",38,0
"18","EBBKSPulqwE",118,0
"19","eDck1inm__s",1090,0
"20","EkVY2EvFSgo",1323,0
"21","F5iNa1CIkVk",123,0
"22","foXMwiieWto",415,0
"23","Hfq5yDF1Fb0",2,0
"24","hngCStMjZ2c",156,0
"25","i9N50WwwIVw",167,0
"26","ifSiaBDpGF8",17,0
"27","iWidrZsHCyM",20,0
"28","IX9AnOI2v6w",13,0
"29","jjF2TbwqwUA",63,0
"30","kwwE8QRnzOs",407,0
"31","KyTTj0y8KgI",84,0
"32","l9tU-wzK97o",9,0
"33","mfZ-RaiDTy8",4,0
"34","MobCeLyiM1Q",944,0
"35","mqMoCZYvS5w",93,0
"36","N4xGmADQpmA",104,0
"37","NKEqMQM2isA",48,0
"38","Nuqp7Hfd8xc",139,0
"39","pDW4IYVlbbw",5216,0
"40","PjPfsICRl1s",340,0
"41","QKNrZl60K40",375,0
"42","RfFjgr6j2HY",31,0
"43","s1x90X6B6SY",266,0
"44","sJkbU_5_Jzk",77,0
"45","VFqFu5TM6q4",113,0
"46","W1KcWnzP41M",216,0
"47","W3Imp29k4FI",99,0
"48","wdcePT7PpSU",2,0
"49","yHrV9smkOJI",342,0
"50","ZKMvyWV4P6E",40,0
