"","video_id","comments_count","reply_rate"
"1","-WeM90CUYg4",626,0
"2","1hf_Jk2AJDk",102,0
"3","5j3ZAHPBXOg",148,0
"4","5uat9fb0lY4",72,0
"5","7Q-5G2LPOP0",356,0
"6","aR5HRmXSn2I",39,0
"7","cU6kwbHArYo",506,0
"8","dVMkZq7W4x8",170,0
"9","E13C7UCyVC4",283,0
"10","ftv7S_pQekc",63,0
"11","fyr-aLt0TDI",61,0
"12","HCzVeUUzKac",85,0
"13","HopFKHgfcRY",1098,0
"14","icW7D3DaLTk",51,0
"15","ihZCVSIv6zY",70,0
"16","IzJl-Xk7brI",50,0
"17","K3t2AGe4158",343,0
"18","n7aMsHw_j0g",285,0
"19","n9pifWWQqnA",46,0
"20","NL9der1YQHA",83,0
"21","oF7nHohOkRU",1224,0
"22","OPM0n1rOGN8",189,0
"23","pfp6124ovb0",1995,0
"24","q6Eg8FHA-5Y",34,0
"25","qucHEOe5VXc",47,0
"26","r4_tTCDpApA",75,0
"27","uVl4CQy7fkA",78,0
"28","VL40tgNi-6g",46,0
"29","wywI4njiNUE",614,0
"30","yiqWw9UzOBw",56,0
