"","video_id","comments_count","reply_rate"
"1","_bgZNInfttw",106,0
"2","-XabTXM8LfE",66,0
"3","0vCj--2Sm7g",99,0
"4","4addrYfnW2w",54,0
"5","b6-QZvKVvNs",437,0
"6","bHIMyZwbiAI",160,0
"7","bVZoC_QwKl8",102,0
"8","DI76TXjQMWg",740,0
"9","eZAKaImDQS4",21,0
"10","g9EFA4pJpdI",172,0
"11","gEGbYgMsT2o",584,0
"12","hh2_9sak-QU",369,0
"13","hnB2_Q1GNtU",363,0
"14","IGalbnxlWII",255,0
"15","IrHYn2fsgzI",245,0
"16","J_LBj6wIcWM",240,0
"17","nkiqLLmeYUo",354,0
"18","QxgdQp6lFew",806,0
"19","rO35Ywzmuik",247,0
"20","sDdReEJxCcg",1486,0
"21","SQgCi85epgw",163,0
"22","V159iPY8UY4",277,0
"23","Vf53qR40Wcw",114,0
"24","VqGm55nCcKM",151,0
"25","X2b0AxsqPH0",235,0
"26","Zudu5zvc-hk",368,0
