"","video_id","comments_count","reply_rate"
"1","-MXy73S8O6g",530,0
"2","-RjPnRj2p4g",177,0
"3","0YWKtfvGJ-c",392,0
"4","1qswsN8smlo",705,0
"5","2lVnP3bCHvs",527,0
"6","3CdS7I7kQKE",793,0
"7","85SOXREf7co",742,0
"8","a2tED4OLv9A",629,0
"9","Be_PpuMja7o",882,0
"10","bSEy6bDIg0g",415,0
"11","c44tZsJX-Uo",2645,0
"12","C8znKJDG5tI",587,0
"13","Dom0-vlRjxc",442,0
"14","GCk1lj78czE",988,0
"15","gKZT3gVIrqI",572,0
"16","GtT40-9IWc0",674,0
"17","IgCQeArQxpw",250,0
"18","is9uTUhSrGQ",2538,0
"19","JOSdXzlNgiI",1147,0
"20","K7QGSzSGWKo",1318,0
"21","k9y9133aI_4",505,0
"22","kxmeN2-cacw",374,0
"23","lwi54mDHFyw",2903,0
"24","Mgns3qvONoM",509,0
"25","NcrlKBvfEG0",5093,0
"26","oZC97JgeTQ8",816,0
"27","OZf4rYqcXIw",2850,0
"28","P2Q00eotxQo",1039,0
"29","PB_Y8aK0ADE",525,0
"30","PNOpa27woEM",416,0
"31","rj7PPqV6lbM",36,0
"32","tAgHdyCzItI",661,0
"33","Tm4BQO5nD4E",1035,0
"34","TsUD-MfS854",643,0
"35","VjJTKMRkP6U",5133,0
