"","video_id","comments_count","reply_rate"
"1","0qXLkgXqNfc",0,NA
"2","0W_SW7dRaZY",19,0
"3","1ZXYkCuJf1Y",0,NA
"4","5fQoV1e6VTc",3,0
"5","5hWq5avpR-E",10,0
"6","6wk_om8MZPQ",28,0
"7","AL2eojA4E1Y",20,0
"8","Bi_zZwJQpaY",0,NA
"9","BUsk6pYc3yA",33,0
"10","C0s_Aa4f3ic",12,0
"11","ce4GDWMW8B4",6,0
"12","DAG7Kwtuem8",10,0
"13","EcsokvjVL9E",3,0
"14","EkoRJGwZr1E",7,0
"15","ESmUp1io_Cs",24,0
"16","gLw8eG80NQE",15,0
"17","gMPMMa2yIZE",14,0
"18","gt_9j_7Uq-Y",7,0
"19","I-bHkfQRlMo",0,NA
"20","Jstfji4q8ew",22,0
"21","KsbWzvR5Ibk",15,0
"22","l4IDVGcRkok",71,0
"23","mN_oF9jrweM",41,0
"24","NButOPa8XFU",8,0
"25","nJCZ8VsVH68",0,NA
"26","o5KqmkemmNE",10,0
"27","piboGnmohYI",117,0
"28","rzFJ9S5IDyk",6,0
"29","s6xmLaOx4S0",7,0
"30","sQlpMjQw7Xk",0,NA
"31","Ueq4buK37sY",7,0
"32","VxAGIywLFSI",2,0
"33","W1_ZU8rF0Gw",25,0
"34","W97M5BJVxUQ",17,0
"35","W9AyjwBHN_s",66,0
"36","WdakW0TL_lU",9,0
"37","wq9Zw5spaQM",18,0
"38","xkuxWEm3X7U",48,0
"39","zAjjW-ifPf8",1,0
