"","video_id","comments_count","reply_rate"
"1","_kqxoxw-N1I",14,0.0714285714285714
"2","_rdU1niVuvc",84,0.0119047619047619
"3","-BgHDcSaB4E",299,0.0301003344481605
"4","-dKVw2YQh2M",81,0
"5","-RAEuvzMdyM",147,0
"6","-SndDpK8jT8",36,0.0555555555555556
"7","-yuyq9snH_g",5,0
"8","-ZryMUZdo1E",406,0.0123152709359606
"9","04s8KnEOnFw",44,0.0454545454545455
"10","0D1nbT4XJ3Y",17,0
"11","0kgKeyY9nAQ",36,0.0555555555555556
"12","0SEcDNUExjs",58,0
"13","0VqWmZhJA6E",14,0.0714285714285714
"14","1aGeMiBuFEc",26,0.115384615384615
"15","1CFhP2V6fBk",23,0.0869565217391304
"16","1O16_zX7zE8",1110,0.0117117117117117
"17","1WEvJnN4AJI",17,0
"18","2aSoVyI-u8E",25,0.08
"19","2nBiWcVweWs",26,0
"20","33gI9pQuri0",654,0.00458715596330275
"21","3aU9djq1wcY",111,0.018018018018018
"22","3cLfEaljFUI",119,0
"23","3eVMPrqaTnM",4,0.25
"24","3iHFUDC_DHQ",24,0
"25","3jE5PT-4ruc",284,0.00352112676056338
"26","3TwDvLUK88Q",0,-1
"27","42QppY1SGBg",773,0.019404915912031
"28","45zb2J-htmw",34,0.0588235294117647
"29","4EJwQdZ-7bk",20,0
"30","4gQWVNiewHA",1,0
"31","4sFy2cxF4cY",55,0
"32","4vM7EVU6e3Q",98,0
"33","4X8mkftCFl4",22,0.0454545454545455
"34","5-1_WXjeMzY",100,0.03
"35","51g6e29Wqvk",1,0
"36","52A75ilVEKs",8,0
"37","5aCzgbvDKj8",4,0
"38","5bhFboauTi8",26,0
"39","5tFET8fb_gg",1,0
"40","6esvultH6YU",151,0.0397350993377483
"41","6pcRZ5f1dZ4",422,0.0592417061611374
"42","6pIiwnjTiV4",136,0.0220588235294118
"43","7_boLyECf54",3,0
"44","7gxeoM-v7XI",15,0.0666666666666667
"45","7IihMWZZmDs",2,0
"46","7NDqZWQt-cA",548,0.0346715328467153
"47","7pW0i7dv8KM",9,0.111111111111111
"48","84fK_Rgfp6o",34,0
"49","8Fc-f_iCGuE",55,0.0181818181818182
"50","9ckXprNCH-g",203,0
"51","9GK_aF6zAZ8",29,0.0344827586206897
"52","9ke7aiwZrLE",30,0
"53","9M3CGjSkbjU",216,0
"54","9PxAildkjxA",2,0
"55","9yYXy9_NqZ0",23,0
"56","A6Ggh2I0PMs",48,0
"57","ab_PSLXj5BM",61,0.0163934426229508
"58","AbkdbwsOHBc",13,0
"59","Ais3YYI4vow",1,0
"60","aMntbLqYNtE",135,0.0296296296296296
"61","aMrXaNpzCUo",45,0
"62","AnZAJ3eQCqw",8,0.125
"63","AwZ0rwCDx4A",448,0.00669642857142857
"64","aXA-KRj8-Eo",460,0.00217391304347826
"65","aZcdEeGf4K8",76,0.0131578947368421
"66","b7XfXjbyH3A",185,0.00540540540540541
"67","bKhLqYZvDvo",0,-1
"68","Btsf_75SEIQ",52,0.0384615384615385
"69","bWpu4axXS9Q",1,0
"70","BxHmgq-Xk2U",82,0.109756097560976
"71","c6gDleJeoIo",15,0
