"","video_id","comments_count","reply_rate"
"1","_EWbW1puqCg",73,0
"2","0TqoNiiCadQ",92,0
"3","1hoZt5lW_gc",243,0
"4","1PHNwsRGums",104,0
"5","2TAiSEwrbLw",31,0
"6","6D6-S6m8lMo",3,0
"7","AdLY2MPivNw",14,0
"8","bvrGuOVtKWc",11,0
"9","CFVm0Eka370",122,0
"10","cVHOZpKlLzQ",131,0
"11","CzTYtjZVWg4",0,NA
"12","djp5R9b61Dc",45,0
"13","dlCPxpikNPM",41,0
"14","Dv042TWLe0k",47,0
"15","EefPLHkz4bs",215,0
"16","gLD7DPL3WQ4",12,0
"17","gSI89STbOdI",0,NA
"18","gXORkHdcYBc",16,0
"19","i63ESWpGlII",105,0
"20","jGMkrCAgtUc",4,0
"21","k0y9i3RgRHI",5,0
"22","koLjwBXK_uk",9,0
"23","LdQOWlSkRew",159,0
"24","MC6qeJlYhEw",194,0
"25","mInLj6XyzMQ",116,0
"26","NWQJfE0Ktu0",136,0
"27","OQ6YarDqEdw",37,0
"28","Oz-Li4Mrh6w",6,0
"29","QFDZz7MS4u8",199,0
"30","qiH3ENX8-J0",60,0
"31","s0-qDV8NDn8",97,0
"32","SDmhZE2msjc",137,0
"33","w26KqV6xC60",77,0
"34","xQ7BrbbK5B4",51,0
"35","YG0ovf-4iCc",133,0
"36","Ymqc6XnNSa8",40,0
