"","video_id","comments_count","reply_rate"
"1","1ketDG9Qoi4",98,0
"2","1tR2Rknrh7M",594,0
"3","3-kLQ8qTi4o",164,0
"4","3NupLla98nU",9,0
"5","3y72Twg9wi4",71,0
"6","aKHswgUhvY8",76,0
"7","aNpxJ83gH_0",29,0
"8","AqQmPDxbBbY",81,0
"9","b6Y8Y6RPe9Q",23,0
"10","Bh-sL-Asz6s",95,0
"11","BT20rmNYsdk",140,0
"12","cfTAYQEwn6I",1767,0
"13","CGa6lU4d4ac",95,0
"14","CHb38JuaAo4",577,0
"15","cto85attHtk",97,0
"16","cuEVQ8soWU0",1403,0
"17","DEajj9DTLVo",65,0
"18","DnIXUYEW_GM",89,0
"19","EDsPTGk81Gg",50,0
"20","EtacR5v8xE4",45,0
"21","F2hgU26BVns",19,0
"22","FpaxLWYNkqU",88,0
"23","FvZukhN3xR8",60,0
"24","GpDAKheYfH0",73,0
"25","hIG9gIHN__A",37,0
"26","hKzteK_BDp0",105,0
"27","J06IavzM5hg",3085,0
"28","KP0P4wpAgk4",42,0
"29","KuRRuRBo_-0",10,0
"30","LCSXXEToSwk",320,0
"31","LLnur9Tumqg",11,0
"32","lmoO3HR3Aow",27,0
"33","MIJsaFeTBds",41,0
"34","MYbWxQ7U6YA",213,0
"35","N4xwkXNzeuk",32,0
"36","NuiCrfZXYOY",89,0
"37","of7DbyuweNM",41,0
"38","OTGJr7ZSu40",48,0
"39","pwj4Vr8gEiY",32,0
"40","qaleT-v0g08",238,0
"41","QOQhKK-4uWE",5,0
"42","SFXw8atfhck",18,0
"43","SMms0OM1qMQ",18,0
"44","TNI0H8TYcdQ",87,0
"45","udnOtJZCGK4",134,0
"46","UH0F82FzZso",154,0
"47","v9zjqbtiNw4",49,0
"48","VHd-79Rs79U",764,0
"49","xKkmgrwSab4",105,0
"50","yQqjHMvPVH4",409,0
"51","zjiAAu_F3Vw",1,0
