"","video_id","comments_count","reply_rate"
"1","0R6VmYJNNmA",205,0
"2","40AIw8zIo9w",771,0
"3","4GD1lvYclgo",1,0
"4","4onkCF4Rl_8",291,0
"5","86c-1xbPmis",66,0
"6","8W4qPuZhWsA",8,0
"7","a-tTz94FpXA",2,0
"8","A9SajBJv7og",4,0
"9","aozzCbcpxBk",96,0
"10","au9e4Uam1Z0",325,0
"11","CAbCo5cF498",4,0
"12","CsU-6O6B4nI",13,0
"13","eXZkTRWDCcY",2,0
"14","eyS-O8snzLo",99,0
"15","Fs_BuePeQYc",55,0
"16","FxS0ZVyBsx8",260,0
"17","Gg4NdQdjTE0",88,0
"18","gUfjuphyxGk",163,0
"19","h1O8EZwEKc8",6,0
"20","HBRugaSdgrI",583,0
"21","Hrgx5mqsx_w",188,0
"22","i_0IOBh5s6U",7,0
"23","iQkfT-JOufc",6,0
"24","iy5bXNa3n0I",41,0
"25","jiILW36nGtQ",158,0
"26","K9lWWn9RmLQ",7,0
"27","MdjggVhh-ls",584,0
"28","MJY2XjylxMI",15,0
"29","nipvDTRh_GQ",234,0
"30","Nn0tin1xtwE",18,0
"31","O8u5bbwiU-4",78,0
"32","oUev6njANKo",62,0
"33","P3yhJHfULYI",204,0
"34","P73WegaZ_R4",2,0
"35","p9EQgwqglrg",48,0
"36","Q-G0OEly0ew",135,0
"37","Q7llZ7LpYWI",296,0
"38","rdqUCAUMV64",13,0
"39","rOkmRardk9U",22,0
"40","S2VhSiYy80s",168,0
"41","tHLmlocA8BQ",276,0
"42","tj5wh4nKZxs",154,0
"43","Tmda38eIYHw",28,0
"44","tVzJvt25gdk",220,0
"45","U_wIQ8vYvB0",6,0
"46","vDSEBmJdp84",506,0
"47","wIGHGHg-nbo",2,0
"48","wPZQhKHfB2w",374,0
"49","XCtjCC7j6wY",33,0
"50","XHED-fXxHoo",71,0
"51","xiefIsd7zcs",19,0
"52","XW_ASTIaSZg",17,0
"53","Z1rnhwtySkE",7,0
"54","Zedqk2d7kqk",707,0
"55","zXyJ1XMpX6g",127,0
