"","video_id","comments_count","reply_rate"
"1","0298Q-D8Hig",113,0
"2","2FDOaLWqj3A",12,0
"3","6WItAz1yRvc",255,0
"4","8oMTrZSpBF4",352,0
"5","9QFHHE_0m7w",477,0
"6","CExcAIcO3NQ",150,0
"7","cpNw-d_EqDw",626,0
"8","d26OsHd9Sac",795,0
"9","D2AO7AZzMsQ",187,0
"10","d4AkUYRh94M",228,0
"11","d80hXnyd3qg",644,0
"12","ETGyfAOOcDI",116,0
"13","FCWLBdVuOh4",99,0
"14","GW7RXOBv5mE",195,0
"15","H5b24LfDQ14",61,0
"16","HHH55aYGWSQ",11,0
"17","hIJxnA4cg44",436,0
"18","hr_yj4gfO0s",117,0
"19","huQwvk5cRhU",23,0
"20","iyIWUpVQbok",110,0
"21","JBxE4oEvQeA",69,0
"22","jgJy1ihBKqw",380,0
"23","JtXZlRG8Kbo",183,0
"24","K2iUZ_RmG40",59,0
"25","KnS39Js2Bl4",64,0
"26","L-YpttQtCdo",129,0
"27","lGFsl6Fd2Dc",134,0
"28","LORRyYPpEc0",145,0
"29","Lp3fGHk27ko",372,0
"30","lqPFNyjpPu4",379,0
"31","lrQClHT3GYI",255,0
"32","nY_mphLjaeY",266,0
"33","O_P5Ati1dmo",186,0
"34","PD01oQCm7LM",67,0
"35","PDlfG7j_Kj0",146,0
"36","Pn0_KohdFHs",27,0
"37","pt837PYoNB0",213,0
"38","qknuPe92S_o",6,0
"39","RyEDrUNFUoQ",32,0
"40","T2_lf-5v-I0",208,0
"41","uEXgMaooR98",77,0
"42","UPuxi4e0yCI",559,0
"43","v2v8rBnfQfg",17,0
"44","WOONWDCw-bo",307,0
"45","wpcucpBb3UE",62,0
"46","xLXSbkpw8HU",188,0
"47","XWxDqUr8v3w",128,0
"48","YUhmwTqKYKg",230,0
